athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Sherine Bouftini,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,8568.33,67
Maina Guillemin,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,8657.62,68
Norah Vigouroux,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,8665.32,69
Alizée Marbais,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,8665.69,70
Pauline Dauvin,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,8692.09,71
Charlotte Perrin,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,8693.87,72
Olivia Mascarin,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,8718.63,73
Audrenn Foiny,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,8796.66,74
Aurianne Regi,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,8904.75,75
Mathilde Lombard,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,8932.18,76
Marine Boudes,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,9034.14,77
Dania Belisle,CAN,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,9115.45,78
Marion Joffle,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,9243.9,79
Léa Dubois,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,9261.59,80
Maëlys Fardeau,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,9404.51,81
Camille Bouteloup,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,9519.71,82
Maeve Garreau,FRA,05/23/2019,LEN Cup,"Brive, FRA",10,NW,Neutral,101,9666.84,83
end,,,2019_05_23_Brive_10km_W,,,,,,,
Ginevra Taddeucci,ITA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7470.000576,1
Silvia Ciccarella,ITA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7472.00592,2
Ellen Olsson,SWE,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7480.001376,3
Madelon Catteau,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7483.008096,4
Laura Rodriguez Santaularia,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7488.999936,5
Emily Clarke,GBR,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7489.006848,6
Alena Benesova,CZE,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7490.00736,7
Lenka Sterbova,CZE,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7492.006656,8
Helvina Huet,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7493.000256,9
Jnaka Juhasz,HUN,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7533,10
Vivien Balogh,HUN,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7581.007296,11
Serena Stel,NED,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7592.999616,12
Célia Heurtaux,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7599.00096,13
Lucie Zubalikova,CZE,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7603.003008,14
Nolwenn Nunes,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7603.003872,15
Andrea Dominguez Casabella,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10,NW,Neutral,45,7603.008192,16
