athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Ana Marcela Cunha,BRA,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7572.86,1.0
Rachele Bruni,ITA,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7574.52,2.0
Arianna Bridi,ITA,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7574.87,3.0
Finnia Wunram,GER,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7576.68,4.0
Viviane Jungblut,BRA,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7582.67,5.0
Anna Olasz,HUN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7583.11,6.0
Samantha Arevalo,ECU,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7583.64,7.0
Angela Maurer,GER,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7590.36,8.0
Sarah Bosslet,GER,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7726.02,9.0
Julia Arino,ARG,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7968.79,10.0
Daphnée Demers,CAN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,8043.73,11.0
Sabryna Lavoie,CAN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,8119.92,12.0
Vicenia Navarro,VEN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,8134.1,13.0
Catalina Berraud,ARG,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,8177.61,14.0
Mia Desjarlais,CAN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,8849.79,15.0
Marie-Laurence Lortie,CAN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,9028.75,16.0
Caitlin Nolan,CAN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,9088.75,17.0
Victoria Mori,ARG,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,9114.87,18.0
