athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Rachele Bruni,ITA,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,7436.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Olasz,HUN,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,7440.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline Laure Jouisse,FRA,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,7443.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanie Horner,CAN,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,7448.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenna Delaney Godfrey Smallegange,CAN,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,7547.4,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgane Dornic,FRA,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,7551.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Franco,ITA,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,7621.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Terriault,CAN,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,7853.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bougie,CAN,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,7877.92,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabrielle Savard,CLB,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,7991.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heidi Ullrich,CAN,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,8275.6,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dania Belisle,CAN,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,8447.9,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elise Bolger,CAN,7/21/2019,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,14.0,8921.3,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
