athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Ana Marcela Cunha,BRA,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7251.0,1.0
Cecilia Biagioli,ARG,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7283.0,2.0
Viviane Jungblut,BRA,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7284.0,3.0
Romina Soledad Imwinkelried,ARG,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7304.0,4.0
Katy Campbell,USA,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7317.0,5.0
Kate Farley Sanderson,CAN,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7372.0,6.0
Maria Bramont-Arias,PER,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7376.0,7.0
Martha Sandoval,MEX,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7424.0,8.0
Chantel Lily Jeffrey,CAN,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7485.0,9.0
Becca Mann,USA,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7487.0,10.0
Paola Perez,VEN,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7527.0,11.0
Martha Aguilar Ortega,MEX,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7666.0,12.0
Mahina Nicole Valdivia Dannenberg,CHI,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,7685.0,13.0
Jada Chatoor,TTO,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,8090.0,14.0
Yanci Vanegas,GUA,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,8279.0,15.0
Fatima Flores,ESA,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,8285.0,16.0
Fatima Portillo,ESA,08/04/2019,Pan American Games,"Lima, PER",10.0,NW,Neutral,17.0,8722.0,17.0
