athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Ana Marcela Cunha,BRA,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7170.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Van Rouwendaal,NED,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7171.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareena Lee,AUS,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7172.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Olasz,HUN,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7174.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonie Beck,GER,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7175.1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haley Anderson,USA,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7176.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Twichell,USA,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7177.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Xin,CHN,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7210.1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lara Grangeon De Villele,FRA,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7257.3,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnia Wunram,GER,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7261.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samantha Arevalo,ECU,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7290.6,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecilia Biagioli,ARG,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7291.7,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumi Kida,JPN,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7300.9,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachele Bruni,ITA,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7330.2,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasiia Kirpichnikova,RUS,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7397.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula Ruiz Bravo,ESP,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7397.6,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelica Andre,POR,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7480.7,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kate Farley Sanderson,CAN,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7499.1,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Dearing,GBR,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7503.2,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paola Perez,VEN,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7545.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle Weber,RSA,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7616.5,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krystyna Panchishko,UKR,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7655.1,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li-Shan Chantal Liew,SGP,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7697.9,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spela Perse,SLO,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,7713.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Souad Nefissa Cherouati,ALG,8/3/2021,Olympic Games,"Tokyo, JPN",10.0,NW,Neutral,25.0,8241.6,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
