athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Barbara Pozzobon,ITA,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25.0,NW,Neutral,11.0,19379.3,1.0
Anna Olasz,HUN,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25.0,NW,Neutral,11.0,19383.18,2.0
Alice Franco,ITA,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25.0,NW,Neutral,11.0,19436.46,3.0
Cecilia Biagioli,ARG,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25.0,NW,Neutral,11.0,19888.45,4.0
Daria Kulik,RUS,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25.0,NW,Neutral,11.0,20095.33,5.0
Erika Yenssen,ARG,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25.0,NW,Neutral,11.0,20096.43,6.0
Pilar Geijo,ARG,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25.0,NW,Neutral,11.0,20130.87,7.0
Vasiliki Kadoglu,BUL,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25.0,NW,Neutral,11.0,20324.21,8.0
Rita Vanesa Garcia,ARG,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25.0,NW,Neutral,11.0,22382.64,9.0
Daira Marin,ARG,08/25/2018,FINA Grand Prix,"Ohrid Lake, MKD",25.0,NW,Neutral,11.0,22383.27,10.0
