athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Xin Xin,CHN,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6887.2,1.0
Haley Anderson,USA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6888.1,2.0
Rachele Bruni,ITA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6889.9,3.0
Lara Grangeon De Villele,FRA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6890.0,4.0
Ana Marcela Cunha,BRA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6890.5,5.0
Ashley Twichell,USA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6890.5,6.0
Kareena Lee,AUS,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6890.5,7.0
Finnia Wunram,GER,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6890.7,8.0
Leonie Beck,GER,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6891.0,9.0
Sharon Van Rouwendaal,NED,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6891.1,10.0
Aurelie Muller,FRA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6891.2,11.0
Viviane Jungblut,BRA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6891.9,12.0
Arianna Bridi,ITA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6892.0,13.0
Fuwei Dong,CHN,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6896.7,14.0
Esmee Vermeulen,NED,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6898.4,15.0
Anna Olasz,HUN,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6898.7,16.0
Alice Dearing,GBR,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6905.9,17.0
Samantha Arevalo,ECU,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6922.8,18.0
Angelica Andre,POR,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6923.4,19.0
Anastasiia Krapivina,RUS,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6924.9,20.0
Mariia Novikova,RUS,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6926.0,21.0
Yumi Kida,JPN,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6926.7,22.0
Reka Rohacs,HUN,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6926.7,22.0
Paula Ruiz Bravo,ESP,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6931.2,24.0
Danielle Huskisson,GBR,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6931.5,25.0
Maria Bramont-Arias,PER,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6933.8,26.0
Spela Perse,SLO,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6944.4,27.0
Eva Fabian,ISR,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6944.8,28.0
Chelsea Gubecka,AUS,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6945.2,29.0
Minami Niikura,JPN,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6946.8,30.0
Michelle Weber,RSA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6985.8,31.0
Julia Arino,ARG,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6992.2,32.0
Maria Vilas,ESP,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7054.4,33.0
Alena Benesova,CZE,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7068.6,34.0
Kate Farley Sanderson,CAN,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7223.9,35.0
Krystyna Panchishko,UKR,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7228.6,36.0
Kalliopi Araouzou,GRE,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,7230.3,37.0
