athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Lea Boy,GER,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,17637.0,1.0
Lara Grangeon De Villele,FRA,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,17698.4,2.0
Barbara Pozzobon,ITA,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,17698.7,3.0
Onon Katalin Somenek,HUN,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,17701.8,4.0
Ekaterina Sorokina,RUS,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,17825.7,5.0
Elea Linka,GER,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,17827.6,6.0
Sofia Kolesnikova,RUS,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,17836.5,7.0
Luca Vas,HUN,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,17999.5,8.0
Veronica Santoni,ITA,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,18027.4,9.0
Johanna Enkner,AUT,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,18073.1,10.0
Mariia Novikova,RUS,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,18159.6,11.0
