athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Ana Marcela Cunha,BRA,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,19455.0,1.0
Lea Boy,GER,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,19455.2,2.0
Sharon Van Rouwendaal,NED,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,19455.3,3.0
Barbara Pozzobon,ITA,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,19456.3,4.0
Caroline Laure Jouisse,FRA,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,19532.1,5.0
Elea Linka,GER,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,19536.7,6.0
Anna Auld,USA,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,19585.6,7.0
Reka Rohacs,HUN,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,19588.6,8.0
Hanano Kato,JPN,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,19590.9,9.0
Kensey Mcmahon,USA,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,19819.1,10.0
Hanyu Cheng,CHN,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,20965.9,11.0
Kexin Wang,CHN,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,20999.2,12.0
Cibelle Jungblut,BRA,06/30/2022,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,21161.6,13.0
