athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Barbara Pozzobon,ITA,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,32022.79,1.0
Alice Franco,ITA,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,32480.7,2.0
Aurelie Muller,FRA,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,32713.68,3.0
Martina Grimaldi,ITA,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,32813.31,4.0
Olga Kozydub,RUS,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,32814.53,5.0
Daria Kulik,RUS,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,32879.31,6.0
Pilar Geijo,ARG,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,32883.81,7.0
Ilaria Raimondi,ITA,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,33049.43,8.0
Anna Mankevich,RUS,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,33049.57,9.0
Fabianalamberti,ITA,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,33090.27,10.0
Catarinaganyeuli,BRA,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,35249.16,11.0
Rita Vanesa Garcia,ARG,02/05/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,12.0,36951.24,12.0
