athlete_name,country,date,event,location,distance,current_type,temp,condition,field_size,time,place
Lara Grangeon,FRA,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,17698.4,2
Barbara Pozzobon,ITA,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,17698.7,3
Kata Somenek Onon,HUN,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,17701.8,4
Ekaterina Sorokina,RUS,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,17825.7,5
Elea Linka,GER,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,17827.6,6
Sofia Kolesnikova,RUS,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,17836.5,7
Luca Vas,HUN,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,17999.5,8
Veronica Santoni,ITA,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,18027.4,9
Johanna Enkner,AUT,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,18073.1,10
Mariia Novikova,RUS,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,18159.6,11
end,,,2021_05_16_Budapest_25km_W,,,,,,,,0
