athlete_name,date,event,location,distance,current_type,temp,field_size,place
Kristof RASOVSZKY,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,1
Rob MUFFELS,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,2
Andrea MANZI,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,3
Marcel SCHOUTEN,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,4
Simone RUFFINI,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,5
Federico VANELLI,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,6
Ferry WEERTMAN,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,7
Christian REICHERT,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,8
Caleb HUGHES,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,9
Pepijn SMITS,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,10
Allan DO CARMO,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,11
Tobias Patrick ROBINSON,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,12
Andreas WASCHBURGER,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,13
Diogo VILLARINHO,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,14
Yuval SAFRA,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,15
Yasunari HIRAI,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,16
Matteo FURLAN,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,17
Simon HUITENGA,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,18
Alexander STUDZINSKI,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,19
Krzysztof PIELOWSKI,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,20
Ivan ENDERICA OCHOA,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,21
Guillermo BERTOLA,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,22
Joaquin MORENO,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,23
Yohsuke MIYAMOTO,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,24
Miguel ARMIJOS,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,25
Jan URBANIAK,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,26
Taiki NONAKA,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,27
Yosuke AOKI,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,28
Elliot SODEMANN,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,29
Shai TOLEDANO,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,30
Santiago ENDERICA,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,31
David FARINANGO,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,32
Nico MANOUSSAKIS,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,33
Fernando PONTE,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,34
Oliver SIGNORINI,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,35
Rafael GIL,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,36
Alexandre COUTINHO,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,37
Jose PAULA CARVALHO,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,38
Evgenij POP ACEV,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,39
Pedro PINOTES,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,40
Zedheir TORREZ,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,41
Allessio MATARAZZO,06/24/2017,FINA World Cup,"Setubal, POR",10,No Current,Neutral,46,42
