athlete_name,date,event,location,distance,current_type,temp,field_size,place
Gregorio Paltrinieri,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,1
Domenico Acerenza,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,2
Kristof Rasovszky,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,3
Dario Verani,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,4
Andrea Manzi,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,5
Axel Reymond,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,6
Pasquale Sanzullo,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,7
Marcel Schouten,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,8
David Betlehem,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,9
Matteo Furlan,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,10
Andreas Waschburger,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,11
Aaron Elias Schmidt,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,12
Daniel Szekelyi,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,13
Adam Pinter,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,14
Aleksandr Stepanov,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,15
Matthieu Magne,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,16
Martin Straka,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,17
Andrea Filadelli,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,18
Linus Schwedler,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,19
Mark Kovacsics,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,20
Ben Langner,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,21
Arshak Hambardzumyan,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,22
Emanuele Russo,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,23
Zalan Sarkany,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,24
Ruslan Sadykov,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,25
Aleksander Lyubavskiy,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,26
Giuseppe Ilario,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,27
Alexandre Verplaetse,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,28
Roman Sulev,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,29
Peter Galicz,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,30
Vladimir Muratov,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,31
Christopher Jedel,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,32
Ivan Giovannoni,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,33
Federico Salghetti-Drioli,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,34
Alexander Cooper,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,35
Stepan Khachatrian,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,36
Enzo Oumailia,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,37
Grgo Mujan,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,38
David Ludvik,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,39
Isaac Dodds,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,40
Theo Druenne,10/03/2021,LEN Cup,"Piombino, ITA",10,No Current,Neutral,51,41
