athlete_name,date,event,location,distance,current_type,temp,field_size,place
Ferry WEERTMAN,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,1.0
David AUBRY,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,2.0
Simone RUFFINI,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,3.0
Axel REYMOND,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,4.0
Gregorio PALTRINIERI,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,5.0
Matteo FURLAN,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,6.0
Andreas WASCHBURGER,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,7.0
Rob MUFFELS,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,8.0
Logan FONTAINE,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,9.0
Yasunari HIRAI,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,10.0
Christian REICHERT,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,11.0
Kristof RASOVSZKY,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,12.0
Victor JOHANSSON,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,13.0
Soeren MEISSNER,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,14.0
Tobias Patrick ROBINSON,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,15.0
Marcus HERWIG,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,16.0
Alberto MARTINEZ,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,17.0
Simon HUITENGA,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,18.0
Mario SANZULLO,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,19.0
Jack BURNELL,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,20.0
Aubin COCCORDANO,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,21.0
Krzysztof PIELOWSKI,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,22.0
Pepijn SMITS,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,23.0
Diogo VILLARINHO,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,24.0
Allan DO CARMO,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,25.0
Vitaliy KHUDYAKOV,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,26.0
Marcel SCHOUTEN,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,27.0
Esteban ENDERICA SALGADO,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,28.0
Fernando PONTE,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,29.0
Clement BATTE,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,30.0
Alexis VANDEVELDE,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,31.0
Enzo ROLDAN MUNOZ,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,32.0
Oliver SIGNORINI,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,33.0
Nicolas MASSE-SAVARD,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,34.0
Caleb HUGHES,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,35.0
Bailey ARMSTRONG,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,36.0
Gaspar ANDRADE BUDINO,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,37.0
Jean-Baptiste CLUSMAN,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,38.0
Taiki NONAKA,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,39.0
Naim MOKHFI,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,40.0
Alexander STUDZINSKI,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,41.0
Hugo SAILLARD,03/17/2018,FINA World Cup,"Doha, QAT",10.0,No Current,Neutral,70.0,42.0
