athlete_name,date,event,location,distance,current_type,temp,field_size,place
Edoardo Stochino,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,No Current,Neutral,11.0,1
Evgenij Pop Acev,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,No Current,Neutral,11.0,2
Francesco Ghettini,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,No Current,Neutral,11.0,3
Matias Diaz Hernandez,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,No Current,Neutral,11.0,4
Matheus Emerim Evangelista,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,No Current,Neutral,11.0,5
Damian Blaum,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,No Current,Neutral,11.0,6
Aquiles Balaudo,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,No Current,Neutral,11.0,7
Nicola Tempesta,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,No Current,Neutral,11.0,8
Martin Carrizo Yunges,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,No Current,Neutral,11.0,9
Aleksandar Ilievski,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,No Current,Neutral,11.0,10
Andrea Crevatin,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,No Current,Neutral,11.0,11
