athlete_name,date,event,location,distance,current_type,temp,field_size,place
Florian WELLBROCK,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,1
Marc-Antoine OLIVIER,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,2
Rob MUFFELS,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,3
Kristof RASOVSZKY,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,4
Jordan WILIMOVSKY,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,5
Gregorio PALTRINIERI,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,6
Ferry WEERTMAN,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,7
Alberto MARTINEZ,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,8
Mario SANZULLO,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,9
David AUBRY,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,10
Esteban ENDERICA SALGADO,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,11
Jack BURNELL,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,12
Athanasios KYNIGAKIS,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,13
Kai Graeme EDWARDS,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,14
Logan VANHUYS,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,15
Matej KOZUBEK,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,16
Hau-Li FAN,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,17
Tobias Patrick ROBINSON,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,18
Kirill ABROSIMOV,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,19
Matan RODITI,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,20
Nicholas SLOMAN,7/15/2019,FINA World Championships 10km,"Gwangju, KOR",10,No Current,Neutral,75,21
