athlete_name,date,event,location,distance,current_type,temp,field_size,place
Florian WELLBROCK,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,1
Ferry WEERTMAN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,2
Axel REYMOND,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,3
Tobias Patrick ROBINSON,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,4
Matteo FURLAN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,5
Nicholas SLOMAN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,6
Matan RODITI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,7
Jack BURNELL,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,8
Esteban ENDERICA SALGADO,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,9
Simone RUFFINI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,10
Andrea MANZI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,11
David BRANDL,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,12
Simon HUITENGA,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,13
Fernando PONTE,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,14
Allan DO CARMO,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,15
Mario SANZULLO,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,16
Diogo VILLARINHO,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,17
David HUSZTI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,18
Daniel SZEKELYI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,19
Bailey ARMSTRONG,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,20
Yasunari HIRAI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,21
Yuval SAFRA,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,22
Rafael GIL,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,23
Nicholas ROLLO,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,24
Ruwen STRAUB,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,25
Alexandre FINCO,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,26
Shahar RESMAN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,27
Oliver SIGNORINI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,28
Taishin MINAMIDE,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,29
Elliot SODEMANN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,30
Matej KOZUBEK,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,31
Peter GALICZ,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,32
Ivan ENDERICA OCHOA,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,33
Zoltán DRIGAN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,34
Krzysztof PIELOWSKI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,35
Levente SELMECI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,36
Marwan ELAMRAWY,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,37
Mark PAPP,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,38
Shai TOLEDANO,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,39
Arti KRASNIQI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,40
Jiabao AN,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,41
Takeshi TOYODA,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,42
Kristof RASOVSZKY,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,43
Kaito WATANUKI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,44
Noel NOVOSZATH,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,45
Ido GAL,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,46
Yunze WANG,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,47
Tamas FARKAS,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,48
Vit INGEDULD,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,49
Aquiles BALAUDO,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,50
Ivan FRATIC,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,51
Taiki NONAKA,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,52
Evgenij POP ACEV,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,53
Balazs HOLLO,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,54
Kristof MONORI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,55
Christopher JEDEL,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,56
Kenessary KENENBAYEV,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,57
Long CHENG,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,58
Jose PAULA CARVALHO,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,59
Adam LASZLO,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,60
Aleksandar ILIEVSKI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,61
Filip HUSNAK,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,62
Akos SULI,06/16/2018,FINA World Cup,"Balatonfured, HUN",10,No Current,Neutral,69,63
