athlete_name,date,event,location,distance,current_type,temp,field_size,place
Franco Ivo CASSINI,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,1
Joaquin MORENO,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,2
Simone ERCOLI,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,3
Francesco GHETTINI,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,4
Evgenij POP ACEV,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,5
Edoardo STOCHINO,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,6
Damian BLAUM,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,7
Aquiles BALAUDO,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,8
Aleksandar ILIEVSKI,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,9
Matheus EMERIM EVANGELISTA,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,10
Santiago PETRUCCI,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,11
Matias DIAZ HERNANDEZ,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,12
Franco GAMARRA,2/9/2019,FINA Grand Prix,"Rosario, ARG",15,Current,Neutral,24,13
