athlete_name,date,event,location,distance,current_type,temp,field_size,place
Federico VANELLI,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,1.0
Simone RUFFINI,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,2.0
David AUBRY,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,3.0
Guillermo BERTOLA,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,4.0
Logan FONTAINE,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,5.0
Allan DO CARMO,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,6.0
Vitaliy KHUDYAKOV,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,7.0
Fernando PONTE,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,8.0
Baptiste COLMANT,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,9.0
Yann CORBEL,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,10.0
Benjamin BRANTU,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,11.0
Joaquin MORENO,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,12.0
Santiago ENDERICA,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,13.0
Franco Ivo CASSINI,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,14.0
Maximiliano PACCOT,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,15.0
David FARINANGO,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,16.0
David CASTRO,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,Current,Neutral,19.0,17.0
