name,pagerank,rank
Marc-Antoine Olivier,0.09799791612824708,1
Ferry Weertman,0.08851287716897238,2
Jack Burnell,0.06326002607306139,3
Simone Ruffini,0.047051421408442456,4
Spyridon Gianniotis,0.04638170256724704,5
Andreas Waschburger,0.028349174798829525,6
Christian Reichert,0.028340030879711493,7
Federico Vanelli,0.027883251172194822,8
David Aubry,0.026247295807676777,9
Kirill Abrosimov,0.020059563393592012,10
Allan Do Carmo,0.018712324538116193,11
Axel Reymond,0.018096903796021333,12
Evgenii Drattcev,0.017770147011989337,13
Lijun Zu,0.015254468156486631,14
Rob Muffels,0.014626161818786905,15
Marcel Schouten,0.014416051705799226,16
Matteo Furlan,0.012804750429124975,17
Chip Peterson,0.012795431441034424,18
Jordan Wilimovsky,0.011677451960605564,19
Diogo Villarinho,0.010909430604806111,20
Richard Weinberger,0.010747161704973524,21
Mark Papp,0.010476746922017064,22
Damien Cattin-Vidal,0.00974819486234549,23
Yasunari Hirai,0.009242185340688313,24
Caleb Hughes,0.008707430589662595,25
Soeren Meissner,0.008079950999980828,26
Pepijn Smits,0.007951603060636688,27
Chad Ho,0.007576088642187904,28
Logan Fontaine,0.007431655679219443,29
Vitaliy Khudyakov,0.006480306435517975,30
Kristof Rasovszky,0.006392061242508108,31
Philippe Guertin,0.006254744095237983,32
Jack Brazier,0.0061064031173099515,33
Ivan Enderica Ochoa,0.005897981392631714,34
Sean Ryan,0.005517824380044094,35
Ventsislav Aydarski,0.0046686117243606605,36
Guillermo Bertola,0.004635782865764763,37
Evgenij Pop Acev,0.004547992709942301,38
Daniel Szekelyi,0.0043393099841910615,39
Alex Meyer,0.004282503711546759,40
Yohsuke Miyamoto,0.0038423489781764927,41
Aleksandr Astapov,0.003841101439224508,42
Gergely Gyurta,0.0037404659943687385,43
Simon Huitenga,0.0037395878054073284,44
Ous Mellouli,0.0036527675115798717,45
Eric Hedlin,0.003444705676775478,46
Kirill Belyaev,0.003390782379999834,47
Benjamin Brantu,0.0032307970251102894,48
Roman Karyakin,0.003179068001500665,49
Patrik Rakos,0.003145649499372692,50
Sergey Bolshakov,0.003050389180882379,51
Anton Evsikov,0.0029698717770993725,52
Esteban Enderica Salgado,0.0026915206172925523,53
Jingwei Weng,0.002661023916832944,54
Nicolas Masse-Savard,0.0025434123080039896,55
Diego Vera,0.002505629149767638,56
Santiago Enderica,0.0024901696115796164,57
Zhongyi Qiao,0.0024499025096386393,58
Joaquin Moreno,0.002446136199334173,59
David Heron,0.0023731061299324214,60
Mateusz Sawrymowicz,0.0023243478743103932,61
Xavier Desharnais,0.0022446118579435583,62
Damian Blaum,0.002220510182862355,63
Moritz Andreas Bartels,0.0021907236331975954,64
Daniel Delgadillo,0.0021762933142532546,65
Jiabao An,0.002145854945922495,66
Erwin Maldonado,0.0021399124402200825,67
Raul Santiago Betancor,0.002077017357067291,68
Davy Billiau,0.0020635928510472938,69
Edoardo Stochino,0.0020358092021565775,70
Marcus Herwig,0.0019856949951770723,71
Lidou Han,0.001963041472603675,72
Ruoyu Wang,0.0018485042475264385,73
Aquiles Balaudo,0.0018375806763833494,74
Yuuya Kataoka,0.001819594335537249,75
Mario Sanzullo,0.001814201444855606,76
Aleksandar Ilievski,0.0018134102211984212,77
Igor Chervynskiy,0.0017679329199974457,78
Richard Nagy,0.0017507088742138872,79
Jarrod Poort,0.0016760506534597792,80
Wenhao Wang,0.0016639709626018076,81
Pol Gil,0.0016619626892636402,82
Martin Carrizo Yunges,0.0016576354226095354,83
Jan Kutnik,0.0016514994439527468,84
Brendan Casey,0.001620816083889065,85
Kai Graeme Edwards,0.0016049357687403622,86
Jan Urbaniak,0.0015933434701567223,87
Lachlan Colquhoun,0.001592572585208972,88
Matthias Schweinzer,0.0015683294676023057,89
Artem Podyakov,0.0015556888024226534,90
Yuval Safra,0.0015414264239481633,91
Daniel Kober,0.001528381425605456,92
Phillip Ryan,0.001519595960777577,93
Ivan Afanevich,0.0015154311793815116,94
Soon Choy Kevin Yeap,0.001502948325642098,95
Bailey Armstrong,0.0014773739348376137,96
Antonio Arroyo,0.001476043778429909,97
Yann Corbel,0.0014492556225498632,98
Krzysztof Pielowski,0.0014406562883309277,99
Shai Toledano,0.00143538528062543,100
Tomi Stefanovski,0.0014260974293535049,101
Edouard Belanger,0.0014223165418402344,102
Kane Rae Francis Radford,0.00140984794883814,103
Thore Bermel,0.0013999968348208983,104
Luis Fernardo Bolanos Zuloaga,0.0013608414794454731,105
Shahar Resman,0.0012985047074477946,106
Wilder Carreno,0.0012921894739017024,107
Christopher Bryan,0.0012781692077719364,108
Fernando Ponte,0.0012622721643072087,109
Tristan Filion,0.001260856086205945,110
Mathieu Mattelear,0.0012588708005046275,111
Matheus Emerim Evangelista,0.0012527916548483319,112
Rafael Gil,0.0012522973359623438,113
Anis Cheniti,0.0012283864262409851,114
Matej Kozubek,0.0012217785583771884,115
Hugo Chopineau,0.0012119795543142585,116
Edouard Lehoux,0.0011989771087406894,117
Tamas Novoszath,0.0011869852968320847,118
Taiki Nonaka,0.0011714487622704719,119
Matan Roditi,0.0011542786194360813,120
Alexander Studzinski,0.001147072034669576,121
Baptiste Colmant,0.0011410323412215466,122
Yosuke Aoki,0.0011237729473850663,123
Juan Jose Segovia Ramos,0.0011208643907238613,124
Simone Ercoli,0.00111841041750918,125
Xinjie Ji,0.0011138486325311474,126
Bertrand Venturi,0.001110118069239158,127
Ho Yin Kwan,0.0011095125977459133,128
