name,pagerank,rank
Ferry Weertman,0.09543123134679748,1
Marc-Antoine Olivier,0.08818628147988636,2
Spyridon Gianniotis,0.06106798715073541,3
Simone Ruffini,0.05221384036790716,4
Jack Burnell,0.04195785960347924,5
Christian Reichert,0.030947992704687857,6
Andreas Waschburger,0.03072071413658976,7
Federico Vanelli,0.025223501176164988,8
Evgenii Drattcev,0.024102797094703397,9
Axel Reymond,0.022839992797855018,10
Lijun Zu,0.02161743190041183,11
Allan Do Carmo,0.020218263362652186,12
Kirill Abrosimov,0.016643251963236388,13
Jordan Wilimovsky,0.01644861563279666,14
David Aubry,0.015260008857374534,15
Marcel Schouten,0.013124549544509654,16
Mark Papp,0.012943386426644223,17
Chip Peterson,0.012679687649492885,18
Rob Muffels,0.011944590183053484,19
Yasunari Hirai,0.01130903361726309,20
Chad Ho,0.009394138776560083,21
Matteo Furlan,0.009069768070403678,22
Damien Cattin-Vidal,0.0089287800536012,23
Diogo Villarinho,0.008714698792899931,24
Logan Fontaine,0.007572724486359961,25
Caleb Hughes,0.007048523526668293,26
Philippe Guertin,0.006975505246103204,27
Vitaliy Khudyakov,0.0068384642285107934,28
Richard Weinberger,0.006767190051417213,29
Alex Meyer,0.006478123114089651,30
Pepijn Smits,0.006467530039137218,31
Ventsislav Aydarski,0.005560334253658992,32
Evgenij Pop Acev,0.005416772969953588,33
Guillermo Bertola,0.005077832911441569,34
Ivan Enderica Ochoa,0.004901384155715003,35
Ous Mellouli,0.004652571410424865,36
Simon Huitenga,0.004642988813036089,37
Gergely Gyurta,0.004563676263874787,38
Jack Brazier,0.004279861013083114,39
Yohsuke Miyamoto,0.004206210320973432,40
Kirill Belyaev,0.003983646475704227,41
Damian Blaum,0.0038055441937377235,42
Kristof Rasovszky,0.003793216724529197,43
Soeren Meissner,0.0037651350678789973,44
Roman Karyakin,0.0037085203545976953,45
Diego Vera,0.0035996110847708695,46
Esteban Enderica Salgado,0.0035927292129118416,47
Anton Evsikov,0.003459111492282692,48
Eric Hedlin,0.0034095297558676923,49
Jingwei Weng,0.003341371668171722,50
Benjamin Brantu,0.00329507774023239,51
Sergey Bolshakov,0.0031602482137022985,52
Aleksandr Astapov,0.0031176439687793304,53
Zhongyi Qiao,0.003059249086484897,54
Edoardo Stochino,0.0029887673891447826,55
Joaquin Moreno,0.0029740724906796487,56
Mateusz Sawrymowicz,0.002964428237251553,57
Daniel Delgadillo,0.0028241754025080676,58
Erwin Maldonado,0.0028108737061794697,59
