name,pagerank,rank
Ferry Weertman,0.08925550258132459,1
Marc-Antoine Olivier,0.05862324594242493,2
Jack Burnell,0.04396783805834602,3
Simone Ruffini,0.043597671507478376,4
Jordan Wilimovsky,0.04012329312497468,5
Federico Vanelli,0.03387905714532722,6
Kristof Rasovszky,0.03290916112813735,7
Rob Muffels,0.026058934443521017,8
David Aubry,0.02551952152672451,9
Marcel Schouten,0.024424932185282675,10
Christian Reichert,0.021792857566589347,11
Spyridon Gianniotis,0.021625429017125497,12
Kirill Abrosimov,0.019787130995921682,13
Allan Do Carmo,0.018124654519877433,14
Andreas Waschburger,0.015220598876996295,15
Evgenii Drattcev,0.014730581017936492,16
Lijun Zu,0.014084290358166033,17
Andrea Manzi,0.013199710981990093,18
Vitaliy Khudyakov,0.01066592968701368,19
Fernando Ponte,0.010248334013830497,20
Chad Ho,0.009896562922099724,21
Caleb Hughes,0.009504382920475065,22
Axel Reymond,0.009438336657547683,23
Ventsislav Aydarski,0.009321917825002204,24
Jack Brazier,0.008767121753657448,25
Yasunari Hirai,0.008759649683965389,26
Krzysztof Pielowski,0.00870768317967658,27
Matteo Furlan,0.008573919461205694,28
Guillermo Bertola,0.008087185966918962,29
Brendan Casey,0.007955054678341435,30
Diogo Villarinho,0.007860215905698248,31
Pepijn Smits,0.007608887992908476,32
Richard Weinberger,0.007544139462195686,33
Logan Fontaine,0.007413798218388738,34
Mario Sanzullo,0.006573033434398488,35
Mark Papp,0.006453590480487942,36
Soeren Meissner,0.006217945918931654,37
Simon Huitenga,0.0055767736636341304,38
Shahar Resman,0.005187725079682683,39
Ivan Enderica Ochoa,0.004426770829575273,40
Chip Peterson,0.004403409300428207,41
Damien Cattin-Vidal,0.004369877683876636,42
Timothy Shuttleworth,0.004157019216064913,43
Tobias Patrick Robinson,0.0038621584989809517,44
Yohsuke Miyamoto,0.0036561712027580588,45
Evgenij Pop Acev,0.003588491500475897,46
Aleksandr Astapov,0.0034298995240147644,47
Philippe Guertin,0.0034061824325744543,48
Alex Meyer,0.0031411603916154285,49
Danie Szekelyi,0.003082989705199268,50
Lachlan Colquhoun,0.0030279836181628986,51
Joaquin Moreno,0.002933300149576863,52
Sergey Bolshakov,0.0028190435152641697,53
Alexander Studzinski,0.0027573122060082834,54
Yuval Safra,0.0026922903980012105,55
Marcus Herwig,0.0026205676104696075,56
Daniel Szekelyi,0.0026050549211045315,57
Damian Blaum,0.002485761095542281,58
Eric Hedlin,0.0024180452176162937,59
Kai Graeme Edwards,0.0023742912500487943,60
Benjamin Brantu,0.0023617810743104613,61
Taiki Nonaka,0.0023313023433253364,62
Kirill Belyaev,0.002299847518699631,63
Raul Santiago Betancor,0.0022900398524069313,64
Gergely Gyurta,0.002140865992364798,65
Esteban Enderica Salgado,0.0021233507641600273,66
Igor Chervynskiy,0.0020850787524302186,67
Edoardo Stochino,0.0020811292819881934,68
David Brandl,0.00202570186845436,69
Jiabao An,0.0020197131738282476,70
Diego Vera,0.0020151880777369625,71
Matej Kozubek,0.001968983497007001,72
Ous Mellouli,0.0019332014253902008,73
Hau-Li Fan,0.0019316281023474269,74
Roman Karyakin,0.0019244918537135807,75
David Heron,0.0019018927663271364,76
Xavier Desharnais,0.0018879821308844117,77
Johndry Segovia,0.0018867466618508592,78
Daniel Delgadillo,0.0018436079107272368,79
Yosuke Aoki,0.0018232872484658159,80
Anton Evsikov,0.0018037897410423404,81
Antonio Arroyo,0.0017952766608582186,82
Pol Gil,0.0017776346369692449,83
Jingwei Weng,0.0017373925977635383,84
Marwan Elamrawy,0.0016472733315954927,85
Mateusz Sawrymowicz,0.0015772551443729269,86
Santiago Enderica,0.0015316736852194232,87
Logan Vanhuys,0.001483208479242422,88
Nicolas Masse-Savard,0.001466825708081191,89
Anis Cheniti,0.0014626181739111346,90
Matheus Emerim Evangelista,0.0014592997511698068,91
Shai Toledano,0.0014538300474875579,92
Patrik Rakos,0.0014510161303023005,93
Erwin Maldonado,0.0014194583329364466,94
Hugo Chopineau,0.0014110866753388339,95
Alberto Martinez,0.00140940833058237,96
David Farinango,0.0013861093991134423,97
Juan Jose Segovia Ramos,0.0013682332464440478,98
Tamas Farkas,0.0013682152691685174,99
Zhongyi Qiao,0.0013550374669704384,100
Aleksandar Ilievski,0.0013491137653232435,101
Eric Reuss,0.0012860678683430282,102
Taishin Minamide,0.0012838685171728753,103
Georgios Arniakos,0.0012802437799568438,104
Sean Ryan,0.0012678021889618867,105
Roman Kozhevnikov,0.0012622272527731144,106
Oliver Signorini,0.0012617961424010017,107
