proper_name,country
Guillermo Bertola,ARG
Hao Han Wang,CHN
Hau-Li Fan,CAN
Hayden Paul Cotter,AUS
Ho Yin Kwan,HKG
Hugo Saillard,FRA
Ido Gal,ISR
Igor Chervynskiy,UKR
Ivan Enderica Ochoa,ECU
Ivan Fratic,SVK
Jack Brazier,AUS
Jack Burnell,GBR
Jaehoo Cho,KOR
Jaehun Park,KOR
James Otley-Doe,AUS
Jarrod Poort,AUS
Jean-Baptiste Clusman,FRA
Jeremias Munoz,ARG
Jia Hu,CHN
Jiabao An,CHN
Joao Nunes De Oliveira Frias Duarte,ANG
Joaquin Moreno,ARG
Jon Thomas Mckay,CAN
Jordan Wilimovsky,USA
Jose Ignacio Ravagna,ARG
Jose Paula Carvalho,POR
Jules Wallart,FRA
Junbohang Zhao,CHN
Ka Lung Kwan,HKG
Kai Graeme Edwards,AUS
Kai-Wen Tseng,TPE
Kaito Watanuki,JPN
Katelnikof Alexander Dawson,CAN
Kenessary Kenenbayev,KAZ
Kirill Abrosimov,RUS
Kristof Monori,HUN
Kristof Rasovszky,HUN
Krzysztof Pielowski,POL
Lachlan Colquhoun,AUS
Lars Bottelier,NED
Leo Ouabdesselam,FRA
Lev Cherepanov,KAZ
Levente Selmeci,HUN
Lijun Zu,CHN
Logan Fontaine,FRA
Logan Vanhuys,BEL
Lok Yin Law,HKG
Long Cheng,CHN
Lu Liu,CHN
Luciano Segurado,ARG
Luiz Gustavo Foratto G. De Barros,BRA
Marc-Antoine Olivier,FRA
Marcel Schouten,NED
Marcello Guidi,ITA
Marcus Herwig,GER
Marin Debril,FRA
Mario Sanzullo,ITA
Mark Papp,HUN
Marwan Elamrawy,EGY
Matan Roditi,ISR
Matej Kozubek,CZE
Mathieu Mathy Ben Rahou,MAR
Matias Aguirre,ARG
Matias Diaz Hernandez,ARG
Matteo Furlan,ITA
Matthew Scott,NZL
Maxime Gagnon,CAN
Michael Brinegar,USA
Michael Mcglynn,RSA
Milan Bukovics,HUN
Milan Fabian,HUN
Milan Julianusz Imre,HUN
Mingyu Lu,CHN
Mohamed Moselhy,EGY
Naim Mokhfi,FRA
Nattapon Intaratchaikij,THA
Nicholas Rollo,AUS
Nicholas Sloman,AUS
Nicolas Masse-Savard,CAN
Nicolas Provenzano,ARG
Niklas Frach,GER
Noel Novoszath,HUN
Oliver Signorini,AUS
Pablo Le Corre,FRA
Pepijn Smits,NED
Peter Galicz,HUN
Philippe Guertin,CAN
Pol Gil,ESP
Raben Severin Dommann,CAN
Rafael Gil,POR
Raul Santiago Betancor,ESP
Reilly Kennedy,AUS
Richard Weinberger,CAN
Riku Kuwazoe,JPN
Rinel Pius,EST
Rob Muffels,GER
Romain Beraud,FRA
Rui Meng,CHN
Ruoyu Wang,CHN
Ruwen Straub,GER
Ryley Mcrae,CAN
Saleh Mohammad,SYR
Samuel Matte,CAN
Sander Paavo,EST
Santiago Arteta,ARG
Santiago Enderica,ECU
Santiago Petrucci,ARG
Santiago Reyes,GUA
Saurabh Sangvekar,IND
Seokhyun Park,KOR
Sergey Bolshakov,RUS
Seungho Baek,KOR
Shahar Resman,ISR
Shai Toledano,ISR
Shuyi Liu,CHN
Simon Bachmann,SEY
Simon Huitenga,AUS
Simon Lamar,USA
Simone Ercoli,ITA
Simone Ruffini,ITA
Singha Chau,HKG
Siwat Matangkapong,THA
Soeren Meissner,GER
Solomon Wright,NZL
Spyridon Gianniotis,GRE
Stanislav Redko,KAZ
Suebsakul Kumton,THA
Sushrut Suryakant Kapse,IND
T C Smith,USA
Taiki Nonaka,JPN
Taishin Minamide,JPN
Takeshi Toyoda,JPN
Tamas Farkas,SRB
Tanakrit Kittiya,THA
Theodore Smith,USA
Tiago Campos,POR
Timotius Mulyadi,INA
Tobias Patrick Robinson,GBR
Tomas Peciar,SVK
Tsz Ho Tsang,HKG
Tzu-Cheng Liao,TPE
Ventsislav Aydarski,BUL
Victor Colonese,BRA
Victor Johansson,SWE
Vit Ingeduld,CZE
Vitaliy Khudyakov,KAZ
Vojislav Sterba,CZE
Wei Jun Su,CHN
William Rollo,AUS
William Yan Thorley,HKG
Xavier Desharnais,CAN
Yasunari Hirai,JPN
Yohsuke Miyamoto,JPN
Yonatan Sharon Rosin,ISR
Yosuke Aoki,JPN
Yunze Wang,CHN
Yuval Safra,ISR
Zhongyi Qiao,CHN
Zi Ce Pei,CHN
Zibin Zhang,CHN
Zoltan Drigan,HUN
Daniel Delgadillo,MEX
Matheus Emerim Evangelista,BRA
Martin Carrizo Yunges,ARG
Nikola Savatinov,BUL
Nicola Tempesta,ITA
Andrea Crevatin,ITA
Chin Ting Keith Sin,HKG
Tien-En Yang,TPE
Ritchie Oh,SGP
Yu Sung Chen,TPE
Chia En Hsu,TPE
Luke Yu Yang Tan,SGP
Tsung Bao Lin,TPE
Marco Magliocca,ITA
Stefano Parta,ITA
Ziyang Zhang,CHN
Lupeng Liu,CHN
Yunnan Wang,CHN
Araya Pumchitamorn,THA
Jaime Arevalo,BOL
Hector Thomas Cheal Pardoe,GBR
Kai Graeme Edwards,AUS
Esteban Enderica Salgado,ECU
Pasquale Sanzullo,ITA
David Betlehem,HUN
