name,pagerank,rank
Ana Marcela Cunha,0.06315659514511278,1
Leonie Beck,0.05869906175605984,2
Rachele Bruni,0.04497443982736675,3
Sharon Van Rouwendaal,0.044233939961863755,4
Anna Olasz,0.03935789920100408,5
Arianna Bridi,0.03631343047878843,6
Haley Anderson,0.03065297389632595,7
Lara Grangeon De Villele,0.029797965581206207,8
Giulia Gabbrielleschi,0.0293393540177065,9
Kareena Lee,0.02693311135533733,10
Lea Boy,0.02394260073815212,11
Xin Xin,0.022569742882149746,12
Angelica Andre,0.020196756790562813,13
Oceane Cassignol,0.018339332874353315,14
Paula Ruiz Bravo,0.016171883040192268,15
Samantha Arevalo,0.014740424723237219,16
Caroline Laure Jouisse,0.014103025534655854,17
Ashley Twichell,0.014088784857877552,18
Finnia Wunram,0.01374068241226874,19
Barbara Pozzobon,0.01296153292057294,20
Jeannette Spiwoks,0.011839522752426168,21
Aurelie Muller,0.011332734251938308,22
Martina De Memme,0.010983445031139774,23
Reka Rohacs,0.010516589211831592,24
Ginevra Taddeucci,0.009946261305609,25
Alice Dearing,0.009454727725785874,26
Mafalda Rosa,0.007623147612265279,27
Maria De Valdes,0.007035087758272173,28
Alena Benesova,0.006767324185153076,29
Onon Katalin Somenek,0.006371408885910637,30
Yumi Kida,0.006232239451511497,31
Cecilia Biagioli,0.0061346811693801994,32
Hannah Moore,0.005791569145888554,33
Lisa Pou,0.00568038713232727,34
Anastasiia Kirpichnikova,0.005594603140732897,35
Danielle Huskisson,0.005333709878096635,36
Esmee Vermeulen,0.005071311131745318,37
Yawen Hou,0.0047957332242410545,38
Spela Perse,0.00441688551416305,39
Giulia Berton,0.003964075969095386,40
Krystyna Panchishko,0.003920479408773905,41
Viviane Jungblut,0.0038631271761904464,42
Kate Farley Sanderson,0.003797178757941168,43
Ekaterina Sorokina,0.003733922567704748,44
Jannette Spiwoks,0.003691819866014805,45
Yana Kurtseva,0.003467284147298216,46
Eva Fabian,0.003250968733050805,47
Chloe Gubecka,0.0032196763550392644,48
Sofie Callo,0.0031528399778962307,49
Serena Stel,0.0031144371852244164,50
Mira Szimcsak,0.0029748530525893616,51
Fuwei Dong,0.002969148136304462,52
Maria Bramont-Arias,0.0029050498144974676,53
Madelon Catteau,0.002608266140428003,54
Minami Niikura,0.0026024135378145243,55
Mackenzie Brazier,0.002581497731630407,56
Sofia Kolesnikova,0.002377745894491039,57
Madisyn Armstrong,0.002242896882244516,58
Isabella Sinisi,0.0022409381143673446,59
Katy Campbell,0.002226781496675567,60
Ellen Olsson,0.0022079027238262024,61
Chelsea Gubecka,0.0022024917583467495,62
Valeriia Ermakova,0.002173805305473993,63
Erica Sullivan,0.0021505100128955783,64
Stephanie Horner,0.0021445373668554915,65
Mariia Novikova,0.0021105673704834294,66
Kalliopi Araouzou,0.0020835200069995014,67
Lenka Sterbova,0.00205650368366504,68
Morgane Dornic,0.00199763809472221,69
Romina Soledad Imwinkelried,0.0019419299603963577,70
Alisia Tettamanzi,0.0019391270831048666,71
Luca Vas,0.0018686895159523414,72
Emily Clarke,0.0017959828894628968,73
Maisie Emily Macartney,0.0016608841237932145,74
Helvina Huet,0.0016417973273237954,75
Maria Vilas,0.0015765143943218816,76
Julia Arino,0.001556522370374033,77
Claire Six,0.0015350608392368302,78
Michelle Weber,0.0014934283946086504,79
Veronica Santoni,0.001455728350063738,80
Ilona Maille,0.0014242179986716042,81
Justyna Burska,0.0014010699496194371,82
Celia Heurtaux,0.0013823021078332995,83
Nolwenn Nunes,0.0013414520664545202,84
Claudia Giralt Pidemont,0.0013174444958731612,85
Eden Girloanta,0.0012999735662599207,86
Elea Linka,0.0012565203298925214,87
Johanna Enkner,0.0012546156848142597,88
Paola Perez,0.0012449033035624025,89
Maria Babkina,0.001235666004824975,90
Carla Goyanes Garcia,0.0012214845265003298,91
Muran Tian,0.0011980794345581175,92
Lean Cabon,0.0011722857983232104,93
Alice Franco,0.0011712139851743492,94
Anastasia Basalduk,0.0011424887403621896,95
Anna Fave,0.001121721769459048,96
Silvia Ciccarella,0.001117933600602315,97
Angela Maurer,0.0010999134260805032,98
Melinda Novoszath,0.0010984003480336852,99
Elise Houllier,0.001068027119577361,100
