name,pagerank,rank
Ana Marcela Cunha,0.08383689209234249,1
Rachele Bruni,0.05961358159497809,2
Arianna Bridi,0.05778648336347518,3
Leonie Beck,0.05321098868846934,4
Haley Anderson,0.04845264332634467,5
Sharon Van Rouwendaal,0.037491503325276496,6
Xin Xin,0.03358439611787293,7
Kareena Lee,0.03339535549528035,8
Lara Grangeon De Villele,0.028721316150064017,9
Finnia Wunram,0.028718238612775435,10
Aurelie Muller,0.017838745887623308,11
Giulia Gabbrielleschi,0.016200509354861618,12
Angelica Andre,0.01579263638613329,13
Ashley Twichell,0.0153958849692527,14
Samantha Arevalo,0.013562086897671832,15
Anna Olasz,0.013072130857031782,16
Esmee Vermeulen,0.012173231441771997,17
Lea Boy,0.010246907395127788,18
Hannah Moore,0.009960833199436643,19
Martina De Memme,0.009716125152763537,20
Paula Ruiz Bravo,0.00904847926738679,21
Yawen Hou,0.008781530632598213,22
Viviane Jungblut,0.008700728046306472,23
Alice Dearing,0.0077721351616028295,24
Chelsea Gubecka,0.006863107320210216,25
Alena Benesova,0.006564418802063229,26
Reka Rohacs,0.0064682468019399,27
Danielle Huskisson,0.006338689492814748,28
Oceane Cassignol,0.006332745563363038,29
Chloe Gubecka,0.005893818098439528,30
Barbara Pozzobon,0.005561714277604558,31
Onon Katalin Somenek,0.005281938386663227,32
Yumi Kida,0.0051186884397888465,33
Mackenzie Brazier,0.004885559993442019,34
Maria De Valdes,0.004778995766020684,35
Caroline Laure Jouisse,0.0044296406504671145,36
Fuwei Dong,0.004155647756848378,37
Spela Perse,0.003923557895428403,38
Maria Bramont-Arias,0.003578049440834593,39
Eva Fabian,0.003515816923120202,40
Erica Sullivan,0.0035151412920111295,41
Angela Maurer,0.003509007554960978,42
Lisa Pou,0.0035027371365794536,43
Ellen Olsson,0.003285261619792487,44
Katy Campbell,0.003239817724440277,45
Jeannette Spiwoks,0.0032280517820066023,46
Minami Niikura,0.003204290936413673,47
Kalliopi Araouzou,0.0031766038227723343,48
Svenja Zihsler,0.0030637731581889044,49
Mariia Novikova,0.0030576000099174416,50
Valeriia Ermakova,0.0029617966739806456,51
Melinda Novoszath,0.0029050262582103427,52
Muran Tian,0.0026863023289524727,53
Morgane Dornic,0.0025656710866843076,54
Yukimi Moriyama,0.002557033034710398,55
Chase Travis,0.0024513151003038294,56
Serena Stel,0.0024353914221922905,57
Madisyn Armstrong,0.0023529655216840985,58
Stephanie Horner,0.0023518541958563333,59
Krystyna Panchishko,0.002328634276021853,60
Sofia Kolesnikova,0.002312022241211638,61
Sarah Bosslet,0.0022705399990873877,62
Julia Arino,0.002210545441094259,63
Cecilia Biagioli,0.0022012779537552486,64
Ginevra Taddeucci,0.002174115796919736,65
Madelon Catteau,0.002113704191726375,66
Adeline Furst,0.0020175466385650453,67
Veronica Santoni,0.001999377911155199,68
Mafalda Rosa,0.0018860917965124947,69
Anastasiia Krapivina,0.0018648711888053493,70
Eden Girloanta,0.0018190823891080243,71
Lenka Sterbova,0.0018136545032292897,72
Maria Babkina,0.0017913157659761082,73
Maisie Emily Macartney,0.0017610880276070864,74
Maria Vilas,0.0017246394063957819,75
Ekaterina Sorokina,0.0016569165847390291,76
Helvina Huet,0.001646370343340257,77
Claire Six,0.0016185178336006454,78
Justyna Burska,0.0016033794231688308,79
Olga Kozydub,0.001587627620408315,80
Alice Franco,0.0015129779844815004,81
Yana Kurtseva,0.0015016277518170454,82
Ilona Maille,0.0014889986109618148,83
Celia Heurtaux,0.0014266147481458295,84
Daria Volobueva,0.0014064212113515202,85
Aurora Ponsele,0.0013857070172941346,86
Silvia Ciccarella,0.0013838904448017914,87
Michelle Weber,0.0013629185957118666,88
Romina Soledad Imwinkelried,0.0013527836644637195,89
Nolwenn Nunes,0.0013402556213998292,90
Nikolett Szilagyi,0.0013220173001607112,91
Claudia Giralt Pidemont,0.0013020647770944488,92
Kate Farley Sanderson,0.0012985758133675128,93
Anastasia Basalduk,0.0012449107782530713,94
Elise Houllier,0.0012293851364567072,95
Lean Cabon,0.001227821023510724,96
Becca Mann,0.0011966577280809443,97
Carla Goyanes Garcia,0.0011856866639361266,98
Anna Fave,0.0011306331811485881,99
Luca Vas,0.0010933511517494505,100
Martina Grimaldi,0.001083049915814207,101
Emily Clarke,0.001077082464543558,102
Alisia Tettamanzi,0.0010669136752279823,103
Emma Onolfo,0.0010659998302088192,104
Vivien Balogh,0.0010377966929553323,105
Fraenzi Heinrich,0.001023083621157308,106
Anastasiia Kirpichnikova,0.001010143619038176,107
Laura Rodriguez Santaularia,0.001008549785911249,108
Pilar Geijo,0.0009803529372506728,109
Chantel Lily Jeffrey,0.0009647608925420317,110
Siyu Yan,0.0009629212893380557,111
Xu Chu,0.0009485162257325524,112
Lucie Zubalikova,0.0009455662102072109,113
Fang Qu,0.0009249149759574247,114
Tsz Yin Nip,0.0009227418532400658,115
Alisa Skorniakova,0.0008857425020715557,116
Judith Navarro Silvestre,0.0008637761589355862,117
Bianca Crisp,0.0008469019766010945,118
Marij Van Der Mast,0.000846854156968106,119
Martha Sandoval,0.0008436224477649935,120
Jnaka Juhasz,0.000842125782189623,121
Nora Naessens,0.000834819460365617,122
Nataly Caldas Calle,0.000832189989328556,123
Polina Kharitonova,0.0008028095591950382,124
Jazmin Carlin,0.0007893624513416223,125
Chloe Green,0.0007882112072837103,126
Veronika Nikulina,0.0007811157367618401,127
Laerke Toft Ruby,0.0007649374112758348,128
Martha Aguilar Ortega,0.0007646592009616074,129
Daria Kulik,0.0007577947415977517,130
Alice Bataille,0.000757627289552694,131
Mariana Mendes,0.0007518146636215348,132
Polly Isabella Holden,0.0007505714867835072,133
Mira Szimcsak,0.0007430935950065806,134
Cherelle Tahnee Oestringer,0.0007417277175901933,135
Céleste Vereecke,0.0007397844479792864,136
Li-Shan Chantal Liew,0.0007389056330888219,137
Anastasiia Kostyleva,0.0007287717442799886,138
Julie Pleskotova,0.0007166533449945193,139
Andrea Dominguez Casabella,0.0007160151319802171,140
Sabryna Lavoie,0.0007111455275867725,141
Betina Lorscheitter,0.0007065888612371948,142
Clara Andreea Spanu,0.0006989843458062105,143
Lou-Anne Barniet,0.0006904243719909187,144
Vasiliki Kadoglu,0.0006885458270583364,145
Petra Mijic,0.0006805573523997062,146
Emma Calvo,0.0006798924009791226,147
Anna Egorova,0.0006713625095312732,148
Emilie Cahuzac,0.0006671046979701046,149
Linda Ungerboeck,0.0006658901489757401,150
Sofia Vakhrusheva,0.0006640802001757233,151
Anna Brendstrup,0.0006396870603022058,152
Louise Culty,0.0006396781552215801,153
Paola Perez,0.000634863914003822,154
Manoella Barbosa,0.0006341262695516174,155
Mahina Nicole Valdivia Dannenberg,0.0006277634253762114,156
