name,pagerank,rank
Sharon Van Rouwendaal,0.07392684596622122,1
Leonie Beck,0.07269920641332418,2
Ana Marcela Cunha,0.06420832534023843,3
Ginevra Taddeucci,0.047389844184325555,4
Giulia Gabbrielleschi,0.04350715558473673,5
Anna Olasz,0.03216694904574927,6
Angelica Andre,0.029925677237469372,7
Lea Boy,0.023248754867625607,8
Barbara Pozzobon,0.022121683465588394,9
Caroline Laure Jouisse,0.021322743571703894,10
Oceane Cassignol,0.021256190139991693,11
Rachele Bruni,0.02123679711667965,12
Jeannette Spiwoks,0.01969350434827545,13
Aurelie Muller,0.019107472767903724,14
Viviane Jungblut,0.016835659103205565,15
Maria De Valdes,0.016245148151578022,16
Lara Grangeon De Villele,0.013176455919420571,17
Mafalda Rosa,0.011927705553725309,18
Lisa Pou,0.01135391289020375,19
Martina De Memme,0.01124162652649474,20
Moesha Johnson,0.01119708628605515,21
Reka Rohacs,0.010559414061378168,22
Kareena Lee,0.010160301567796806,23
Paula Ruiz Bravo,0.009358150568580227,24
Spela Perse,0.007747508532647663,25
Madelon Catteau,0.007356755758570426,26
Katie Grimes,0.00725644078466405,27
Vivien Balogh,0.006447333129221023,28
Arianna Bridi,0.0063929765733566745,29
Samantha Arevalo,0.006297292607996592,30
Chelsea Gubecka,0.005737716164892445,31
Alice Dearing,0.005686011752420498,32
Haley Anderson,0.005595970303775043,33
Alena Benesova,0.005508621158359429,34
Eva Fabian,0.005228259636451367,35
Mariah Denigan,0.005063343040394841,36
Mira Szimcsak,0.004609989536632526,37
Xin Xin,0.004538137138188721,38
Anastasiia Kirpichnikova,0.003927602767848204,39
Finnia Wunram,0.003787774247761484,40
Maria Bramont-Arias,0.003775296909919546,41
Ashley Twichell,0.0035912219471917607,42
Sofie Callo,0.003433556728238426,43
Cecilia Biagioli,0.0033984280730419212,44
Krystyna Panchishko,0.003352521195815955,45
Silvia Ciccarella,0.003339903983098416,46
Onon Katalin Somenek,0.0032322433520273683,47
Serena Stel,0.0031513513954237724,48
Yumi Kida,0.0029979853889637617,49
Giulia Berton,0.0029885270089236304,50
Kate Farley Sanderson,0.0029327008278476016,51
Bettina Fábián,0.0028535758460579434,52
Lenka Sterbova,0.002797310092173695,53
Luca Vas,0.0025250948509191857,54
Angela Martinez Guillen,0.0024306166726985406,55
Elea Linka,0.002367187300636583,56
Ekaterina Sorokina,0.0023246547451711143,57
Danielle Huskisson,0.0022553410142750717,58
Yana Kurtseva,0.002081063460817344,59
Alisia Tettamanzi,0.002015171576299054,60
Bianca Crisp,0.0018221620128713878,61
Morgane Dornic,0.0017828734128001156,62
Jannette Spiwoks,0.001744114339920479,63
Airi Ebina,0.0016824536999668239,64
Romina Soledad Imwinkelried,0.0016694828631715066,65
Tsz Yin Nip,0.0016096383035949314,66
Narin Burcunaz,0.0016020629773532931,67
Stephanie Horner,0.0016013587173974591,68
Candela Sanchez Lora,0.001545175495591352,69
Arianna Valloni,0.0015358329422690549,70
Eden Girloanta,0.0014893219644004506,71
Orian Gablan,0.0014475922445594993,72
Ellen Olsson,0.0014245733193980546,73
Emily Clarke,0.0013948650828997022,74
Diana Taszhanova,0.00134735639030442,75
Jiake Sun,0.0013469355934328942,76
Isabella Sinisi,0.001328197588169061,77
Martha Sandoval,0.0013209575403795198,78
Sofia Kolesnikova,0.0013134502087729905,79
Madisyn Armstrong,0.001302353557266112,80
Amica De Jager,0.0012979278334408644,81
Catherine Francis Van Rensburg,0.0012595953118947417,82
Veronica Santoni,0.0012508430874708886,83
Helvina Huet,0.0012402616440403732,84
Hannah Moore,0.0012204953516845867,85
Mariia Novikova,0.0012130522099301575,86
Minami Niikura,0.001196844376005286,87
Summer Smith,0.0011881605443866262,88
Valeriia Ermakova,0.0011491733866311467,89
Pilar Geijo,0.001142663914937822,90
Celia Heurtaux,0.0011365957217609663,91
Candela Giordanino,0.0011335252193316642,92
Johanna Enkner,0.0011313823706350094,93
Paola Perez,0.0011028439167062804,94
Rebecca Talanti,0.0010794613186917697,95
Michelle Weber,0.0010616713710689784,96
Laura Rodriguez Santaularia,0.001057872244594024,97
Vivien Nett,0.0010330047049383498,98
Marie Kuntzmann,0.0010310296943774767,99
Maria Vilas,0.0010155911421288928,100
Carla Goyanes Garcia,0.0009845426395826752,101
Nolwenn Nunes,0.0009841351787012668,102
Li-Shan Chantal Liew,0.0009753166805378573,103
Claire Six,0.0009651510726408164,104
Ella Dyson,0.000961208230211596,105
Julie Pleskotova,0.0009579311453474858,106
Claudia Giralt Pidemont,0.0009484351790785847,107
Alice Franco,0.0009261651718762741,108
Lucie Zubalikova,0.0009143151512711683,109
Iris Menechini,0.0009112285366683094,110
Zsofia Varga,0.0008979878913572038,111
Justyna Burska,0.000891669977575615,112
Lean Cabon,0.0008795056442318114,113
Nora Naessens,0.0008708429949507311,114
Tal Ashkenazi,0.0008605578372524343,115
Ilona Maille,0.0008553417710168189,116
Yukimi Moriyama,0.0008490031285364424,117
Sevim Eylul Supurgeci,0.0008317976920822752,118
Anna Auld,0.0008297993881499,119
Emma Calvo,0.0008281172925973571,120
Kincso Gal,0.000825121770772411,121
Anna Fave,0.000824490705909735,122
Kenna Delaney Godfrey Smallegange,0.0008060787682982566,123
Xiaoming Ma,0.0008047474123663888,124
Maisie Emily Macartney,0.0008045225736304138,125
Sofie Callo Von Platen,0.0008023039053413614,126
Katja Fain,0.0007932396774851453,127
Noa Barderan,0.0007799542671242591,128
Alessia Ossoli,0.0007708980366889543,129
Pac Tung Nikita Lam,0.0007674178806045782,130
Jnaka Juhasz,0.0007607622884334202,131
Alice Bataille,0.0007518001922439906,132
Fleur Lewis,0.0007360606647800571,133
Emma Onolfo,0.0007310968567943419,134
Aroa Silva Fidalgo,0.0007302525283568213,135
Abby Dunford,0.0007254757717003349,136
Emili Seyevich,0.0007240081475807646,137
Elise Houllier,0.0007079520551827469,138
Mariana Mendes,0.0007070144755060149,139
Kensey Mcmahon,0.0007032792777645913,140
Angela Maurer,0.0006990387894624985,141
Esmee Vermeulen,0.0006950725320173069,142
Chloe Green,0.000686344734179174,143
Blanka Berecz,0.0006840794262606841,144
Julia Arino,0.0006838309986629658,145
Kalliopi Araouzou,0.0006791508253088953,146
Gili Weltman,0.0006761165464263824,147
Clemence Coccordano,0.0006744801079962516,148
Andrea Dominguez Casabella,0.0006695642973617722,149
Daria Volobueva,0.0006656512611461703,150
Marij Van Der Mast,0.0006650199526022408,151
Alisa Skorniakova,0.0006622360899877684,152
Paula Otero Fernandez,0.0006610927329115114,153
Clara Andreea Spanu,0.0006548312511969817,154
Cherelle Tahnee Oestringer,0.0006478123478790245,155
Tuna Erdogan,0.000638851535967384,156
Petra Mijic,0.0006351143179130546,157
Veronika Volikov,0.0006346220252150176,158
Klaudia Tarasiewicz,0.000632326662441055,159
Lou-Anne Barniet,0.0006319626314190439,160
Andrea Terriault,0.000630100639100571,161
Sofia Vakhrusheva,0.0006295636856902477,162
Marlene Blanke,0.0006259124228378811,163
Chloe Gubecka,0.0006201520392182269,164
Anastasia Basalduk,0.0006147231505794601,165
Céleste Vereecke,0.0006134299666331009,166
Mackenzie Brazier,0.0006115027972463459,167
Yumi Tou,0.0006085266934819902,168
Fuwei Dong,0.0006025601556553682,169
Adeline Furst,0.0006011634400116422,170
Louise Culty,0.0006001491705954454,171
Lia Arad,0.0005982968575504324,172
Anna Tymashenko,0.0005908143903840994,173
Mélie Boulianne,0.0005863729978759352,174
Emma Micheletti,0.0005850755658278167,175
Lilou Ambrass,0.0005750065869090542,176
Anastasiia Kostyleva,0.0005740530711499272,177
Fang Qu,0.0005714468347083464,178
Katy Campbell,0.0005679231525659175,179
Sarah Kohler,0.0005670753986404505,180
Tamar Delmonte,0.0005662115367572532,181
Solene Cousseau,0.0005641090249788019,182
Yi-Chen Wang,0.0005632944821167783,183
Chantel Lily Jeffrey,0.0005600176999014314,184
Mathilde Herlem,0.0005598911641687165,185
Katrina Bellio,0.0005568025845028386,186
Giulia Salin,0.0005553385291508699,187
Alexia Bouteilly,0.0005536511686871061,188
Talya Erdogan,0.0005536134214366966,189
Yawen Hou,0.0005447257168357674,190
Manoella Barbosa,0.0005436062695855589,191
Adi Peleg,0.0005376489368897762,192
Erika Yenssen,0.0005376383081659663,193
Finella Gibbs-Beal,0.0005368706516547975,194
Maria Claro Martinez,0.000536409596239388,195
Federica Senatore,0.0005360871688846034,196
Linda Ungerboeck,0.000533949731420255,197
Ece Yildirim,0.0005337707454901106,198
Jimena Perez Blanco,0.0005319808609363659,199
Lara Seifert,0.00053113609646151,200
Reka Fehervari,0.0005266252781413681,201
Camille Cottier,0.0005246588964492539,202
Aricia Peree,0.0005176252329327361,203
Eden Botbol,0.00051750165581089,204
Audrey Robert,0.0005157128568373516,205
Martha Aguilar Ortega,0.0005145640960206154,206
Anastasiia Krapivina,0.0005120855392376951,207
Emily Golos,0.0005120466065426949,208
Maria Jose Mata Cocco,0.0005120225854977497,209
Marie-Amélie Henriet,0.0005070922877497101,210
Elizaveta Anufrieva,0.0005056736336644672,211
Hsin-Yi Fang,0.0005029363956915842,212
Sandy Atef,0.0005005203189663632,213
Polina Yuzofenko,0.0004995977687193779,214
Antonia Bulicic,0.0004987792992774547,215
Kennedy Denby,0.000496907375103276,216
Maria Babkina,0.0004946163692013611,217
Varvara Pogorelova,0.0004908773197440927,218
Coline Coraboeuf,0.0004907573047542274,219
Veronika Petrekova,0.0004894395842745089,220
Elena Tortora,0.0004889848783085802,221
Noga Baruch,0.0004889569717619449,222
Laerke Toft Ruby,0.000488887517012106,223
Hayley Pike,0.0004887548850045087,224
Emma Finlin,0.00048762855898602873,225
Pimpun Choopong,0.0004871370132899908,226
Evan Giannopoulou Nefeli,0.00048490773358428487,227
Alissia Montebrun,0.00048301090337855954,228
Xu Chu,0.00048136464479434896,229
Rita Vanesa Garcia,0.00048043420229612735,230
Nataly Caldas Calle,0.00048012181955971764,231
Brooke Travis,0.0004789839261298771,232
Runa Kasahara,0.0004783274345428549,233
Ruby Heath,0.0004772798667914309,234
Fatima Portillo,0.00047557758717796427,235
Chloé Stutel,0.0004755257753553773,236
Clémence Coccordano,0.0004750191124957725,237
Stephanie Houtman,0.00047497472017602436,238
Liliana Hernandez,0.00047451127579037177,239
Martina Oriozabala,0.0004726199504410544,240
Jeongmin Lee,0.00047206557588355257,241
Yu-Wen Teng,0.0004718933587795957,242
Sophia Irem Iskenderoglu,0.0004710778621987158,243
Omer Shwartz,0.00046951555890065465,244
Mariia Bondarenko,0.00046943027237987816,245
Maëlys Fourmy,0.0004682885880210997,246
Ayala Chudy,0.00046801926768119917,247
Yi Chen Hsieh,0.0004666110486831279,248
Robyn Kinghorn,0.0004638380102153926,249
Renata Vigano,0.0004619055458400085,250
Emma Bruneau,0.00046149240881897236,251
Ori Komemi,0.0004614664446721312,252
Carmen Mikusova,0.00046128460576942416,253
Xeniya Romanchuk,0.00046042285378725546,254
Mahina Nicole Valdivia Dannenberg,0.0004588579180714781,255
Alexandra Bougie,0.00045784801283287806,256
Becca Mann,0.0004562615627101167,257
Heidi Ullrich,0.00045533987361701236,258
Mariia Horodnia,0.00045468559585411174,259
Anais Jarraud,0.0004546220413666578,260
Karolina Dubcakova,0.0004541546695273656,261
Ofek Adir,0.0004534548541395522,262
Alba Herrero Lazaro,0.00045254927824415797,263
Paulina Alanis Hernandez,0.0004505502498277771,264
Lucie Hanquet,0.0004490052245642882,265
Stav Siminchi,0.0004489393454975532,266
Maiana Flament,0.00044816542089417665,267
Valentina Barbosa,0.0004474743008660172,268
Anna Masetti,0.0004460549515608923,269
Celine Weil,0.00044529718640237947,270
Daira Marin,0.00044504049794709036,271
Agathe Henry,0.00044132469446670364,272
Erica Sullivan,0.0004404243074887838,273
Souad Nefissa Cherouati,0.00044022371465905384,274
Marie-Laurence Lortie,0.0004401601407640039,275
Hanano Kato,0.00043623579485910094,276
Siyu Yan,0.0004362278876051357,277
Nina Mikhailova,0.0004357761486125826,278
Rui An Kuo,0.00043574570988538146,279
Elea Perigueux,0.0004353561027351134,280
Ci Chen,0.000435131174654541,281
Hae Rim Lee,0.0004342524825921096,282
Mariya Fedotova,0.00043303785496719366,283
Libi Sela,0.00043147488583288865,284
Sarah Demicoli,0.0004312768547598306,285
Ka Ching Leung,0.00042958515276306,286
Lou Joly,0.00042956044592473486,287
Mia Desjarlais,0.0004292829720380197,288
Melinda Novoszath,0.0004268859329975494,289
Sara Veress,0.0004266299409720968,290
Anna Brendstrup,0.0004259949897592783,291
Ines Delacroix,0.00042553638127076465,292
Lucie Sebestova,0.0004249920389187183,293
Lily Smith,0.0004239301239656754,294
Amelia Rodd,0.00042336699222776707,295
Helena Hvid Hansen,0.0004229730815107676,296
Hitomi Okamura,0.0004229141789007484,297
Merve Erdemir,0.00041947514283140755,298
Margaux Bouteloup,0.0004184579811353776,299
Gabrielle Savard,0.0004183382811699919,300
Shira Golcman,0.0004171448087431695,301
Letizia Baldessari,0.00041572075239343565,302
Ofri Dueak,0.0004154243977384486,303
Sherine Bouftini,0.0004131372738209874,304
Hania Moro,0.000413120292854783,305
Cho Ying Wong,0.00041237136976987653,306
Szu-An Chen,0.00041045349116669105,307
Maina Guillemin,0.0004079616410612434,308
Sofia Guevara,0.00040759953171933943,309
Erica Tommassini,0.00040638488344877136,310
Isabella Babbitt,0.00040413038678847836,311
Norah Vigouroux,0.00040292507759134724,312
Paolina Istomina,0.00040224878512367025,313
Mia Englender,0.0004017065052632832,314
Jovana Nedelkovska,0.00040105386416861835,315
Yael Ravid,0.0004006189160580427,316
Jungju Park,0.00040056836027933156,317
Betina Lorscheitter,0.00039935012018673505,318
Bekky Pozdner,0.00039891167660485846,319
Aide Lourdes Sandoval Ayala,0.0003987437319652944,320
Jingcen Hao,0.0003982151925920583,321
Yanci Vanegas,0.0003981415343109949,322
Alizée Marbais,0.00039802190914535235,323
Miriam Frass,0.0003975619264731106,324
Ludovica Lugli,0.0003974935796922785,325
Scarlett Botes,0.00039697963043981786,326
Marina Triantafyllidi,0.0003965417545363902,327
Jacqueline Davison-Mcgovern,0.00039599247390215625,328
Cibelle Jungblut,0.00039576492154552983,329
Emilie Sansome,0.0003954915264997965,330
Dania Belisle,0.0003952400004760341,331
Livia Kingsland,0.0003939444630311141,332
Ilgin Celik,0.000393731180996989,333
Pauline Dauvin,0.0003932467697978072,334
Eleonora Brotto,0.00039269192993121593,335
Dayoun Lim,0.0003921332977196284,336
Yuen Koike,0.00039131946297680533,337
Moa Holmquist,0.00039055157594583204,338
Candice Foix,0.00038901504662474106,339
Jocelyn Bermeo,0.00038893969804162503,340
Charlotte Perrin,0.00038859458115023387,341
Citlalli Montserrat Mora Olivares,0.00038800085234296254,342
Yarden Harel,0.0003869156533357354,343
Hanyu Cheng,0.0003861704363673361,344
Noah Bondouy,0.00038611446048482384,345
Haeun Jung,0.00038592896008037567,346
Leandra Torres,0.00038567262291032357,347
Janka Juhasz,0.00038506923466706425,348
Vasiliki Kadoglu,0.00038436807656825245,349
Olivia Mascarin,0.00038406053318897515,350
Audrenn Foiny,0.00038405054437716746,351
Holly Hibbott,0.0003820639729962124,352
Yuval Natan,0.00038114754098360663,353
Aimee Hood,0.0003810259760673151,354
Giorgia Gosetto,0.0003809204862910339,355
Aurianne Regi,0.00037968924895003865,356
Jie Chuan Tseng,0.00037818723218703445,357
Fatima Flores,0.00037785313479535504,358
Maria Porres,0.00037656374024435356,359
Jinha Kim,0.00037645202684931075,360
Nadia Blaauw,0.00037582378952741237,361
Sandra Frimerman-Bergquist,0.00037549635432848415,362
Mathilde Lombard,0.0003754343265821081,363
Lara Maria Hernandez Tome,0.0003749003104675758,364
Julia Nina,0.00037455191994041696,365
Megan Frost,0.00037425689065033333,366
