name,pagerank,rank
Ana Marcela Cunha,0.08122994245087833,1
Rachele Bruni,0.05841169311993078,2
Arianna Bridi,0.056623633427555796,3
Leonie Beck,0.04919898049452469,4
Haley Anderson,0.04649022404126664,5
Sharon Van Rouwendaal,0.037238425157584645,6
Kareena Lee,0.032396133175055776,7
Xin Xin,0.030816212133564093,8
Finnia Wunram,0.030355172438928817,9
Lara Grangeon De Villele,0.026206849510230834,10
Aurelie Muller,0.019663846718146753,11
Giulia Gabbrielleschi,0.017057417977343926,12
Samantha Arevalo,0.016063037362290304,13
Ashley Twichell,0.015551356341194809,14
Angelica Andre,0.015296485709892806,15
Anna Olasz,0.014101750902598758,16
Esmee Vermeulen,0.012605243244642683,17
Martina De Memme,0.010457115522586873,18
Viviane Jungblut,0.010415228109999045,19
Lea Boy,0.0096053161988274,20
Paula Ruiz Bravo,0.00944067756568889,21
Hannah Moore,0.009177000041776169,22
Chelsea Gubecka,0.008401097572900253,23
Yawen Hou,0.008303564470458108,24
Alice Dearing,0.00770707398329993,25
Oceane Cassignol,0.006716119545601544,26
Alena Benesova,0.006521271936693856,27
Danielle Huskisson,0.006503183949456036,28
Reka Rohacs,0.0063028468673298485,29
Chloe Gubecka,0.005654965390245746,30
Onon Katalin Somenek,0.0055142884948502216,31
Barbara Pozzobon,0.00535927548301597,32
Yumi Kida,0.005278201592402212,33
Maria De Valdes,0.004874237418869034,34
Mackenzie Brazier,0.004755074705413878,35
Angela Maurer,0.004411480771961206,36
Caroline Laure Jouisse,0.004193115605713579,37
Spela Perse,0.004131230053589729,38
Fuwei Dong,0.003981874737682745,39
Yukimi Moriyama,0.0037577987029639905,40
Lisa Pou,0.0035189043370931704,41
Erica Sullivan,0.003493201847692556,42
Svenja Zihsler,0.0034794283243776867,43
Kalliopi Araouzou,0.003411517584635563,44
Maria Bramont-Arias,0.0034026985554472576,45
Minami Niikura,0.0033938297114938934,46
Eva Fabian,0.0033819876327506305,47
Ellen Olsson,0.003233184205241422,48
Jeannette Spiwoks,0.00313469984759515,49
Katy Campbell,0.0031284777166723896,50
Valeriia Ermakova,0.0031164782324045056,51
Melinda Novoszath,0.0029208266256018295,52
Mariia Novikova,0.0028915736015839937,53
Sarah Bosslet,0.0027567109838360815,54
Muran Tian,0.002750354885436625,55
Anastasiia Krapivina,0.0026944306029096244,56
Chase Travis,0.0026569555324747725,57
Morgane Dornic,0.002518728364852559,58
Sofia Kolesnikova,0.002395441633944537,59
Stephanie Horner,0.002378753759362756,60
Serena Stel,0.0023702608686003174,61
Krystyna Panchishko,0.0023529968365398673,62
Adeline Furst,0.002348404246264376,63
Julia Arino,0.0023279333169308005,64
Cecilia Biagioli,0.002294980347398708,65
Ginevra Taddeucci,0.002187320041021161,66
Madisyn Armstrong,0.002126643241022676,67
Veronica Santoni,0.0020621757272648836,68
Madelon Catteau,0.0020257035896334447,69
Eden Girloanta,0.0019568057961550926,70
Lenka Sterbova,0.0018440206362482724,71
Justyna Burska,0.0018007432593020471,72
Maria Babkina,0.0017597814887590504,73
Mafalda Rosa,0.0017566780704333206,74
Michelle Weber,0.0017339164827204641,75
Olga Kozydub,0.0016921571909797428,76
Maisie Emily Macartney,0.0016777288927567122,77
Maria Vilas,0.0016349030946196954,78
Claire Six,0.0015823522019650484,79
Helvina Huet,0.0015780537822340992,80
Alice Franco,0.0015568580749637905,81
Ekaterina Sorokina,0.001549816320485397,82
Aurora Ponsele,0.0015091752232353742,83
Nikolett Szilagyi,0.0014804036644066624,84
Ilona Maille,0.0014431228480710093,85
Yana Kurtseva,0.0014098314261460983,86
Celia Heurtaux,0.00137659766705545,87
Daria Volobueva,0.0013654774887404747,88
Martina Grimaldi,0.0013244275858013195,89
Silvia Ciccarella,0.001314515225835456,90
Siyu Yan,0.0012927303251548793,91
Nolwenn Nunes,0.0012885867548400338,92
Becca Mann,0.0012754981967345114,93
Romina Soledad Imwinkelried,0.0012568440063867002,94
Kate Farley Sanderson,0.001252334677457521,95
Claudia Giralt Pidemont,0.001252074556980903,96
Elise Houllier,0.0011956897880738115,97
Anastasia Basalduk,0.001172031656582576,98
Lean Cabon,0.0011697976890439922,99
Carla Goyanes Garcia,0.001145573180942312,100
Anna Fave,0.0010929495365329276,101
Alisia Tettamanzi,0.0010921372214783556,102
Luca Vas,0.0010572607083572944,103
Emma Onolfo,0.0010408476468882983,104
Emily Clarke,0.0010215009872317743,105
Fraenzi Heinrich,0.0010006939815261815,106
Vivien Balogh,0.000992786027677322,107
Pilar Geijo,0.0009894765105376096,108
Anastasiia Kirpichnikova,0.0009661959985468112,109
Laura Rodriguez Santaularia,0.0009636291480194846,110
Fang Qu,0.0009598992392704164,111
Xu Chu,0.0009483094651681202,112
Chantel Lily Jeffrey,0.0009419126986567642,113
Judith Navarro Silvestre,0.0009308673442314818,114
Jazmin Carlin,0.0009248072892234468,115
Nataly Caldas Calle,0.0009159183111075654,116
Lucie Zubalikova,0.0009136557120977445,117
Daria Kulik,0.0008984420641498022,118
Tsz Yin Nip,0.0008855511562941077,119
Alisa Skorniakova,0.0008604006881358492,120
Marij Van Der Mast,0.000826057597985599,121
Martha Sandoval,0.0008156807018986209,122
Nora Naessens,0.0008148261549310109,123
Betina Lorscheitter,0.0008127213889263334,124
Jnaka Juhasz,0.0008049753356820697,125
Bianca Crisp,0.0007844974907807405,126
Polina Kharitonova,0.0007832066827263747,127
Martha Aguilar Ortega,0.0007655868513248524,128
Chloe Green,0.0007616689793112081,129
Veronika Nikulina,0.0007594242887125416,130
Polly Isabella Holden,0.000758521031173528,131
Kiah Melverton,0.0007491162499144014,132
Laerke Toft Ruby,0.0007399738214774512,133
Alice Bataille,0.000732206259332296,134
Mariana Mendes,0.0007263257957080558,135
Cherelle Tahnee Oestringer,0.0007261447593060328,136
Sabryna Lavoie,0.0007241456930607742,137
Céleste Vereecke,0.0007218357195284727,138
Mira Szimcsak,0.0007122388550139811,139
Li-Shan Chantal Liew,0.0007070352377914449,140
Julie Pleskotova,0.0006922482779187468,141
Anastasiia Kostyleva,0.000690063686209702,142
Andrea Dominguez Casabella,0.0006861377048302344,143
Clara Andreea Spanu,0.0006779767803555119,144
Vasiliki Kadoglu,0.0006764960814486375,145
Lou-Anne Barniet,0.0006692556082409782,146
Isabella Rongione,0.0006680167315151317,147
Anna Egorova,0.0006644462606845763,148
Emilie Cahuzac,0.0006641991477868026,149
Petra Mijic,0.0006600293632438639,150
Linda Ungerboeck,0.0006519407906850034,151
Emma Calvo,0.0006515174971739226,152
Anna Mankevich,0.0006397983359851987,153
Sofia Vakhrusheva,0.0006372751815313454,154
Mahina Nicole Valdivia Dannenberg,0.0006250729092181061,155
Anna Brendstrup,0.0006238841948548898,156
Louise Culty,0.000620844439417411,157
Manoella Barbosa,0.0006187618749483772,158
Eva Vilar Yebra,0.0006164002601718291,159
Chaya Simone Zabludoff,0.0006135313239664127,160
Paola Perez,0.0006128743839295068,161
Marie-Laurence Lortie,0.0006122165848453872,162
