athlete_name,country,date,event,location,distance,current_type,temp,field_size,time,place,,,,
Alexis VANDEVELDE,FRA,07/01/2017,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,38,6982.9,31,,,,
Hugo SAILLARD,FRA,07/01/2017,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,38,6983.1,32,,,,
Pablo Le Corre,FRA,07/01/2017,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,38,7003.2,33,,,,
Manuel TOME SANLES,ESP,07/01/2017,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,38,7014.7,34,,,,
Maxime MAETZ,FRA,07/01/2017,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,38,7414.3,35,,,,
Melvyn YERPES,FRA,07/01/2017,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,38,8211.8,36,,,,
Severin MERCIER,FRA,07/01/2017,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,38,8429.3,37,,,,
end,,,2017_07_01_LEN_Barcelona_10km,,,,,,,0,,,,
Kristof Rasovszky,HUN,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4819.004064,1,,,,
Soren Meissner,GER,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4819.004928,2,,,,
Pepijn Smits,NED,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4822.00128,3,,,,
Christian Reichert,GER,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4822.003008,4,,,,
Alessio Occhipinti,ITA,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4831.00416,5,,,,
Marcello Guidi,ITA,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4833.006912,6,,,,
Raul Santiago Betancor,ESP,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4833.007776,7,,,,
Logan Vanhuys,BEL,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4833.00864,8,,,,
Joaquin Moreno,ARG,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4834.001376,9,,,,
Richard Nagy,SVK,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4841.002368,10,,,,
Daniel Szekelyi,HUN,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4842.000288,11,,,,
Roger Rabassa Iglesias,ESP,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,4849.003008,12,,,,
Niklas Frach,GER,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,5024.001024,13,,,,
Marcos Godoy,ESP,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,5030.00928,14,,,,
Xabier Carneiro,ESP,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,5041.002816,15,,,,
Matej Kozubek,CZE,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,5060.005632,16,,,,
Peter Gutyan,SVK,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,5067.006624,17,,,,
Eric Villaregut De Mingo,ESP,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,5076.00864,18,,,,
Pablo Cordero,ESP,08/05/2017,LEN Cup,"Navia, ESP",7.5,No Current,Neutral,21,5107.999968,19,,,,
end,,,2017_08_05_LEN_Navia_7.5km,,,,,,,0,,,,
Andrea Bianchi,ITA,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,3973.968,1,,,,
Yuval Safra,ISR,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,3976.992,2,,,,
Dario Verani,ITA,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,3978.0288,3,,,,
Alessio Occhipinti,ITA,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,3980.016,4,,,,
Andreas Waschburger,GER,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,3980.9664,5,,,,
Christopher Jedel,SWE,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,3985.0272,6,,,,
Peter Mandrup Madsen,DEN,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,3987.0144,7,,,,
Ruwen Straub,GER,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,3987.0144,8,,,,
Kristian Kron,SWE,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,4022.9568,9,,,,
Felix Bartels,GER,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,4022.9568,10,,,,
Marcus Herwig,GER,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,4025.9808,11,,,,
Daniel Szekelyi,HUN,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,4027.0176,12,,,,
Niklas Frach,GER,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,4140.0288,13,,,,
Eric Reuss,GER,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,4227.984,14,,,,
Marko Tiidla,EST,08/26/2017,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,15,4999.968,15,,,,
end,,,2017_08_26_LEN_Copenhagen_6km,,,,,,,0,,,,
Kristof Rasovszky,HUN,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6654.084768,1,,,,
Kirill Abrosimov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6656.00976,2,,,,
Evgenii Drattcev,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6662.024928,3,,,,
Andrea Manzi,ITA,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6688.02528,4,,,,
Kirill Belyaev,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6694.010208,5,,,,
Matan Roditi,ISR,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6695.085024,6,,,,
Anton Evsikov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6698.075328,7,,,,
Daniel Szekelyi,HUN,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6700.029696,8,,,,
Logan Vanhuys,BEL,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6701.08032,9,,,,
Krzysztof Pielowski,POL,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6702.024672,10,,,,
Simone Ruffini,ITA,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6702.040224,11,,,,
Shahar Resman,ISR,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6702.06528,12,,,,
Yuval Safra,ISR,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6704.010144,13,,,,
David Brandl,AUT,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6705.029664,14,,,,
Asterios Daldogiannis,GRE,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6708.084768,15,,,,
Shai Toledano,ISR,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6709.044672,16,,,,
Lars Bottelier,NED,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6712.065216,17,,,,
Sergey Bolshakov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6714.085248,18,,,,
Federico Vanelli,ITA,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6718.019904,19,,,,
Roman Kozhevnikov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6734.02032,20,,,,
Ventsislav Aydarski,BUL,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6737.084928,21,,,,
Artem Mamushkin,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6739.045344,22,,,,
Aleksandr Astapov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6794.084736,23,,,,
Kirill Dolgov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6796.065024,24,,,,
Mikhail Lipskii,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6800.02992,25,,,,
Nikita Nekrasov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6804.059616,26,,,,
Mathieu Mattelaer,BEL,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6811.034688,27,,,,
Peter Galicz,HUN,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6814.00512,28,,,,
Vit Ingeduld,CZE,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6814.055232,29,,,,
Federico Salghetti-Drioli,SUI,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6818.000256,30,,,,
Vladislav Utrobin,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6820.0704,31,,,,
Sergei Zhevlakov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6832.0152,32,,,,
Nikita Khotko,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,7016.049792,33,,,,
Ivan Fratic,SVK,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,7047.080352,34,,,,
Yonatan Sharon Rosin,ISR,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,7049.025216,35,,,,
Ido Gal,ISR,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,7054.030368,36,,,,
