athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,,,,
Alberto Martinez,ESP,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,7108.005312,22,,,,
Akos Kalmar,HUN,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,7191.004608,23,,,,
Vitaliy Khudyakov,KAZ,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,7194.001824,24,,,,
Elliot Sodemann,SWE,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,7194.002688,25,,,,
Ziv Cohen,ISR,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,7198.003008,26,,,,
Diogo Cardoso,POR,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,7298.003232,27,,,,
Yonatan Ahdut,ISR,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,7319.00016,28,,,,
Laszlo Galicz,HUN,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,7494.001632,29,,,,
Adam Pinter,HUN,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,7675.006176,30,,,,
Eden Floresfertin,ISR,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,7687.005408,31,,,,
Maor Goralnik,ISR,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,8067.001248,32,,,,
Yahav Damlin,ISR,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,8312.004,33,,,,
Yaron Mantin,ISR,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,8364.002112,34,,,,
Adam Oshmiansky,ISR,03/24/2022,LEN Cup,"Eilat, ISR",10,NW,Neutral,39,8471.009376,35,,,,
end,,,2022_03_24_LEN_Eilat_10km,,,,,,,0,,,,
Gregorio Paltrinieri,ITA,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3085.6,1,,,,
Marc-Antoine Olivier,FRA,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3085.7,2,,,,
Kristof Rasovszky,HUN,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3088.4,3,,,,
Axel Reymond,FRA,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3089.6,4,,,,
Zalan Sarkany,HUN,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3092.5,5,,,,
Akos Kalmar,HUN,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3095.2,6,,,,
Seres Hunor Kovacs,HUN,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3120.5,7,,,,
Netaniel Pushka,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3267.2,8,,,,
Adam Pinter,HUN,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3313.4,9,,,,
Vitaliy Khudyakov,KAZ,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3353.6,10,,,,
Eden Floresfertin,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3451.7,11,,,,
Ilay Ben-Peretz,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3473.6,12,,,,
Shon Tokrov,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3475.9,13,,,,
Yotam Warshavsky,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3479.1,14,,,,
Eshkol Mazor,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3487.7,15,,,,
Eli Bezman,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3649,16,,,,
Jonathan Rozenshtrakh,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3650.1,17,,,,
Alon Prizooselkis,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3658.5,18,,,,
Sagi Avni,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3774.8,19,,,,
Dekel Risin,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3790.2,20,,,,
Omer Lev,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3797.8,21,,,,
Orel Steinberg,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3819.3,22,,,,
Rotem Kamil,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3919,23,,,,
Rom Keinan,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3919.7,24,,,,
Dinadam Chen,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3964.5,25,,,,
Roei Carmeli,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,3982.4,26,,,,
Eithan Diamond,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,4034.6,27,,,,
Michael Astakhov,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,4035.6,28,,,,
Liron Shuker,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,4135,29,,,,
Eylon Tahar,ISR,03/23/2022,LEN Cup,"Eilat, ISR",5,NW,Neutral,33,4202,30,,,,
end,,,2022_03_23_LEN_Eilat_5km,,,,,,,0,,,,
Matteo Furlan,ITA,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,1739.2,1,,,,
Andrea Manzi,ITA,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,1739.3,2,,,,
Dario Verani,ITA,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,1739.8,3,,,,
Domenico Acerenza,ITA,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,1739.9,4,,,,
Michael Smirnov,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,1748.4,5,,,,
Omri Abdelshafi,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,1901.4,6,,,,
Noam Offek,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,1908.2,7,,,,
Ben Grinboim,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,1942.8,8,,,,
Or Harel,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,1985.9,9,,,,
Jonathan Bruno Rozenblat,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,1988.2,10,,,,
Idan Angel,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,1988.3,11,,,,
Ofir Dray,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,2016,12,,,,
Yoav Marom,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,2061.1,13,,,,
Adam Yudin,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,2063.4,14,,,,
Egor Kostin,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,2065.8,15,,,,
Lidan Kitchman,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,2066.9,16,,,,
Amit Boyango,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,2090.7,17,,,,
Itamar Sabti,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,2094.6,18,,,,
Roy Adam,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,2121.6,19,,,,
Ari Shatz,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,2257.6,20,,,,
Noaam Farber,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,2260.7,21,,,,
Ariel Molcho,ISR,03/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,23,2262,22,,,,
end,,,2022_03_23_LEN_Eilat_2.5km,,,,,,,0,,,,
Sacha Velly,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6630.001632,1,,,,
Marcello Guidi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6633.008352,2,,,,
Gregorio Paltrinieri,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6641.007264,3,,,,
Domenico Acerenza,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6642.006912,4,,,,
Pasquale Sanzullo,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6642.007776,5,,,,
Mario Sanzullo,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6649.000992,6,,,,
Dario Verani,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6651.00288,7,,,,
David Betlehem,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6654.002688,8,,,,
Axel Reymond,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6677.00928,9,,,,
Tobias Robinson,GBR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6681.007872,10,,,,
Kristof Rasovszky,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6689.004192,11,,,,
Hector Pardoe,GBR,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6690.004704,12,,,,
Davide Marchello,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6691.00176,13,,,,
Matteo Furlan,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6691.002624,14,,,,
Fares Zitouni,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6696.007776,15,,,,
Jean-Baptiste Clusman,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6700.00032,16,,,,
Fabio Dalu,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6715.001088,17,,,,
Simone Ruffini,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6717.007296,18,,,,
Munoz Enzo Roldan,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6718.008672,19,,,,
Logan Vanhuys,BEL,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6739.007328,20,,,,
Giuseppe Ilario,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6784.006176,21,,,,
Leo Ouabdesselam,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6810.005664,22,,,,
Vincenzo Caso,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6817.004064,23,,,,
Logan Fontaine,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6835.006368,24,,,,
Pasquale Giordano,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6837.003936,25,,,,
Matej Kozubek,CZE,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6850.00368,26,,,,
Adam Pinter,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6850.008,27,,,,
Akos Kalmar,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6851.000736,28,,,,
Ivan Giovannoni,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6851.0016,29,,,,
Alexis Vandevelde,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6851.005056,30,,,,
Lars Bottelier,NED,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6853.006944,31,,,,
Clement Kukla,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6853.006944,32,,,,
Gaspard Tramier,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10,NW,Neutral,93,6854.00832,33,,,,
