,athlete_name,date,event,location,distance,current_type,temp,field_size,place
0,Domenico Acerenza,7/12/2019,FINA World Championships 5km,"Gwangju, KOR",5,No Current,Neutral,61,5
1,Domenico Acerenza,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,2
