name,pagerank,rank
Marc-Antoine Olivier,0.08724542318181056,1
Florian Wellbrock,0.08579052311744265,2
Rob Muffels,0.06217257622325855,3
Kristof Rasovszky,0.04661403761618752,4
Gregorio Paltrinieri,0.03452156351765174,5
Ferry Weertman,0.021922919978036134,6
Mario Sanzullo,0.01834399055840282,7
Jack Burnell,0.016356977376111363,8
Kirill Abrosimov,0.014796239685134657,9
Fares Zitouni,0.01394557067136664,10
Axel Reymond,0.01348163288058343,11
Matteo Furlan,0.013045972902208804,12
Alberto Martinez,0.012738453757836022,13
Logan Fontaine,0.012075766846618513,14
Jordan Wilimovsky,0.011445303799336904,15
Simone Ruffini,0.011157966744337118,16
Hector Thomas Cheal Pardoe,0.0107806555890925,17
Kai Graeme Edwards,0.010623987609347654,18
Hayden Paul Cotter,0.009898917558407359,19
Matej Kozubek,0.009831978972671688,20
Athanasios Kynigakis,0.009720212813492257,21
Esteban Enderica Salgado,0.009608887143621453,22
Andreas Waschburger,0.00911344074975345,23
David Aubry,0.009097138757013101,24
Daniel Szekelyi,0.008796737699712238,25
Marcello Guidi,0.008647166231085636,26
Nicholas Sloman,0.008086048146587033,27
Bailey Armstrong,0.00782378802555737,28
Logan Vanhuys,0.0074594207574828755,29
Niklas Frach,0.007243348108809696,30
Marcel Schouten,0.006735882762484903,31
Pepijn Smits,0.006396393379719746,32
Tobias Patrick Robinson,0.00610992731262789,33
Guillem Pujol,0.006108238386175844,34
Matan Roditi,0.00566032906102325,35
Dario Verani,0.005397496897515758,36
Soren Dellef Meissner,0.005264735831731557,37
David Farinango,0.005213918437481466,38
Tiago Campos,0.005206684114120789,39
David Huszti,0.00519589415753016,40
Yuval Safra,0.004903360723582436,41
Andrea Manzi,0.004842710397502743,42
Krzysztof Pielowski,0.004799540898276714,43
Peter Galicz,0.004403635882351752,44
Allan Do Carmo,0.004309801795540432,45
Franco Ivo Cassini,0.004220009584539263,46
Clement Batte,0.004196479943887396,47
Jules Wallart,0.004170370771612167,48
Hau-Li Fan,0.00400979319572568,49
Vitaliy Khudyakov,0.0036336068063099755,50
Evgenij Pop Acev,0.0035951052215836745,51
Pol Gil,0.003544768629603591,52
Rafael Gil,0.0034809738095403302,53
Alessio Occhipinti,0.00318004100189597,54
Elliot Sodemann,0.0029296537981039782,55
Pasquale Sanzullo,0.0029134423985282066,56
Francesco Ghettini,0.0028920540234488317,57
Evgenii Drattcev,0.0028313019941285334,58
Vit Ingeduld,0.002821722929546339,59
Fernando Ponte,0.0027918802838602383,60
David Castro,0.0027486934462665528,61
Christian Reichert,0.002660390896266683,62
Eric Hedlin,0.002594621995082116,63
Damien Joly,0.002499226811831304,64
Kirill Belyaev,0.002486665086975053,65
Jiabao An,0.0023924623452708615,66
Raul Santiago Betancor,0.0022758334164897356,67
Diogo Villarinho,0.002180608019121496,68
Alexis Vandevelde,0.0021791386270186212,69
Brendan Casey,0.0021709945685046265,70
Denis Adeev,0.0021130615389856346,71
Taishin Minamide,0.002051878246341104,72
Soeren Meissner,0.002048528474397166,73
Andrea Bianchi,0.0019665763716032003,74
Igor Chervynskiy,0.0019402440396731526,75
Takeshi Toyoda,0.0019394874906642533,76
David Brandl,0.0018496676384385249,77
Nicholas Rollo,0.0018322537129430777,78
David Heron,0.0017951584347483019,79
Jon Thomas Mckay,0.0017783109578069578,80
Sebastien Dureux,0.001725215208697799,81
Domenico Acerenza,0.0017199831977198344,82
Brennan Gravley,0.001709813452412735,83
Zhongyi Qiao,0.0017038982499047186,84
Christian Keber,0.0016874649387286556,85
Mark Papp,0.0016476825516414445,86
Alexandre Finco,0.001641462284928041,87
Shahar Resman,0.0016142275899384195,88
Guillermo Vittorio Bertola,0.001608327383842101,89
Jean-Baptiste Clusman,0.0015976541924964055,90
Lars Bottelier,0.0015870105453780672,91
Federico Salghetti-Drioli,0.0015742228800697724,92
David Betlehem,0.001573522558996817,93
Jan Hercog,0.0015382586068037585,94
Clement Kukla,0.001527303067468976,95
Leo Ouabdesselam,0.0015262318437733904,96
Artem Mamushkin,0.0015187352726676144,97
Joaquin Moreno,0.0014837328502667825,98
Anton Evsikov,0.0014776556191103993,99
Lev Cherepanov,0.0014720135095507405,100
Chad Ho,0.001469360572974737,101
Edoardo Stochino,0.0014643856062316637,102
Victor Colonese,0.0014606892944281184,103
