athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Simone Ruffini,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6581.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Burnell,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6584.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6586.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Manzi,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6586.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6586.4,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6587.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6587.1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6588.3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6589.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6590.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soren Dellef Meissner,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6590.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6591.1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6591.3,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hau-Li Fan,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6591.6,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepijn Smits,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6592.6,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6594.7,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Ho,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6597.8,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6623.3,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6639.6,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Masse-Savard,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6647.8,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,6817.1,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenessary Kenenbayev,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,7769.8,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Payet,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,7915.4,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertrand Payet,,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,NW,Neutral,26.0,8355.9,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
