athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Simone Ruffini,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7815.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chip Peterson,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7829.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7829.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7829.3,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7829.4,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7830.3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7846.1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7846.3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Huitenga,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7897.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Papp,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7903.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Casey,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7914.8,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuuya Kataoka,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7915.8,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,7918.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
