athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Ivan Enderica Ochoa,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7034.2,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoltán Drigan,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7042.4,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krzysztof Pielowski,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7048.4,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levente Selmeci,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7061.8,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marwan Elamrawy,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7070.5,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Papp,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7072.9,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shai Toledano,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7074.4,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arti Krasniqi,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7104.6,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiabao An,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7112.9,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takeshi Toyoda,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7149.1,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7188.3,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaito Watanuki,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7212.9,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noel Novoszath,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7245.9,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ido Gal,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7246.7,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunze Wang,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7254.5,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamas Farkas,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7259.9,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vit Ingeduld,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7263.8,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7271.2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Fratic,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7312.8,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiki Nonaka,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7313.6,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7381.6,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balazs Hollo,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7381.8,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Monori,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7472.5,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Jedel,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7523.1,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenessary Kenenbayev,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7553.1,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Cheng,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7561.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Paula Carvalho,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7612.5,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Laszlo,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7813.7,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7868.7,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Husnak,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,8110.7,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akos Suli,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,8600.3,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
