athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Kristof Rasovszky,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,1.0,419.6,576.5,1102.8,1511.6,1673.0,2197.1,2608.3,2755.7,3202.1,,,,,,,,,,,,,,,,,,,,,,
Logan Fontaine,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,2.0,,,1110.2,1514.4,1669.4,2195.9,2610.1,2764.7,3212.2,,,,,,,,,,,,,,,,,,,,,,
Eric Hedlin,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,3.0,423.0,577.9,1107.0,1520.3,,2197.8,2608.1,2762.5,3212.4,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,4.0,424.6,,1117.4,1523.4,1678.2,2211.5,2614.9,2766.8,3213.6,,,,,,,,,,,,,,,,,,,,,,
Domenico Acerenza,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,5.0,422.8,576.4,1105.9,1518.1,1672.1,2197.4,2610.2,2761.2,3214.0,,,,,,,,,,,,,,,,,,,,,,
Daniel Szekelyi,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,6.0,,,1114.0,1523.0,1677.3,2202.3,2612.2,2759.7,3214.4,,,,,,,,,,,,,,,,,,,,,,
Bailey Armstrong,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,7.0,,583.7,1115.3,1523.2,,2201.9,2613.5,2764.2,3214.8,,,,,,,,,,,,,,,,,,,,,,
Kirill Abrosimov,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,8.0,426.0,,1110.3,1518.8,1674.0,2198.5,2609.0,2762.5,3215.5,,,,,,,,,,,,,,,,,,,,,,
Hayden Paul Cotter,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,9.0,424.1,,1109.8,1519.2,1675.0,2203.9,2610.9,2765.4,3215.5,,,,,,,,,,,,,,,,,,,,,,
Guillem Pujol,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,10.0,422.8,581.6,1114.9,1522.0,1678.1,2202.3,2612.4,2768.2,3215.8,,,,,,,,,,,,,,,,,,,,,,
Krzysztof Pielowski,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,11.0,,,1119.2,1526.4,1680.6,,2614.2,2768.9,3216.9,,,,,,,,,,,,,,,,,,,,,,
Michael Brinegar,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,12.0,,,1112.0,1524.4,1680.6,2211.6,2614.0,2769.1,3217.1,,,,,,,,,,,,,,,,,,,,,,
Zhongyi Qiao,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,13.0,425.2,,1112.7,1520.7,1677.4,2201.9,2613.0,2764.5,3217.6,,,,,,,,,,,,,,,,,,,,,,
Brennan Gravley,,07/12/2019,FINA World Championships,"Gwangju, KOR",5.0,NW,Neutral,61.0,,14.0,,,1122.9,1528.1,1683.0,,2618.7,2771.4,3217.8,,,,,,,,,,,,,,,,,,,,,,
