athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Ferry Weertman,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6779.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridon Gianniotis,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6779.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Antoine Olivier,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6782.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lijun Zu,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6782.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Wilimovsky,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6783.2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6783.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Vanelli,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6783.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasunari Hirai,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6784.6,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6784.7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Ho,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6784.8,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenii Drattcev,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6784.8,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ous Mellouli,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6786.1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Papp,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6791.7,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Ryan,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6795.5,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventsislav Aydarski,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6796.1,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Enderica Ochoa,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6796.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Weinberger,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6796.4,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6796.4,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane Rae Francis Radford,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6798.7,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Nagy,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6815.4,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrod Poort,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6820.7,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erwin Maldonado,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,6873.6,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marwan Elamrawy,,08/16/2016,Olympic Games,"Rio de Janeiro, BRA",10.0,NW,Neutral,25.0,7157.2,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
