athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Alex Meyer,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6944.72,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6945.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Vanelli,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6947.31,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Vera,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6949.74,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6950.15,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Cattin-Vidal,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6970.54,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esteban Enderica Salgado,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6975.1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Delgadillo,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6977.02,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6978.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Carrizo Yunges,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6982.02,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erwin Maldonado,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6986.1,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Brantu,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6986.42,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo Bertola,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6989.46,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Enderica Ochoa,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6990.01,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6990.68,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Fernardo Bolanos Zuloaga,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6993.17,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilder Carreno,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,6995.61,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chip Peterson,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7003.43,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Jose Segovia Ramos,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7007.53,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Bianchi,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7011.36,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Enderica,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7025.69,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7055.7,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Raul Villagoiz,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7056.21,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7056.81,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johndry Segovia,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7058.46,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Fontaine,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7065.96,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillaume Boscher,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7072.15,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Gil,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7077.83,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Ribeiro,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7130.04,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7201.7,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomi Stefanovski,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7238.72,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasco Gaspar,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7270.89,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7329.12,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7657.91,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Caballero,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,7679.41,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fausto Emanuel Brondo,,02/07/2016,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,39.0,8035.84,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
