athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Florian Wellbrock,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6489.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico Acerenza,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6492.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6503.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasquale Sanzullo,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6504.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6504.8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacha Velly,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6506.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Manzi,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6509.6,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas Frach,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6509.9,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hector Thomas Cheal Pardoe,GBR,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6516.8,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcello Guidi,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6517.8,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Klemet,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6517.9,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,GBR,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6519.4,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6520.9,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6521.7,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6522.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jules Wallart,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6522.7,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6523.7,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Fontaine,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6526.1,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fares Zitouni,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6528.7,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Campos,POR,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6531.6,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Betlehem,HUN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6536.5,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Armstrong,AUS,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6537.6,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brennan Gravley,USA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6538.1,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Galicz,HUN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6545.2,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Martinez,ESP,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6546.8,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Hercog,AUT,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6547.3,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6557.2,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athanasios Kynigakis,GRE,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6575.9,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Roldan Munoz,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,6624.4,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
