athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Gregorio Paltrinieri,ITA,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6401.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Antoine Olivier,FRA,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6403.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Betlehem,HUN,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6404.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6405.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico Acerenza,ITA,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6405.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Manzi,ITA,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6407.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6409.7,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Aubry,FRA,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6414.2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athanasios Kynigakis,GRE,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6414.8,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6416.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Sloman,AUS,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6416.6,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brennan Gravley,USA,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6417.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esteban Enderica Salgado,ECU,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6418.6,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Gravley,USA,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6419.4,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Lee,AUS,11/12/2022,FINA World Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,6419.8,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
