athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Francesco Ghettini,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,11940.68,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ercoli,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,11941.79,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,11943.94,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,11949.26,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,11953.49,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,11979.74,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Enderica,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,11991.26,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Diaz Hernandez,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,12319.78,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,12389.35,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,12445.49,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Petrucci,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,12932.04,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fausto Emanuel Brondo,,02/03/2019,FINA Grand Prix,"Santa Fe, ARG",15.0,NW,Neutral,22.0,13306.72,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
