athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Florian Wellbrock,GER,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6773.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Antoine Olivier,FRA,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6773.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Fontaine,FRA,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6775.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6775.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcello Guidi,ITA,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6777.1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,ITA,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6781.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jules Wallart,FRA,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6803.6,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Klemet,GER,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6811.8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mykhailo Romanchuk,UKR,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6819.3,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacha Velly,FRA,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6848.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linus Schwedler,GER,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6848.9,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas Frach,GER,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6877.1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,GER,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6892.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esteban Enderica Salgado,ECU,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6906.6,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Roldan Munoz,FRA,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,6975.7,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Campos,POR,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7034.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7034.7,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Melecchi,BRA,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7038.6,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akos Kalmar,HUN,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7079.8,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7085.8,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7103.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunor Kovacs-Seres,HUN,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7119.6,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Langner,GER,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7123.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheng-Chi Cho,TPE,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7164.9,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Buck,RSA,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7177.3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Moselhy,EGY,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7489.4,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gael Marcel Khalil,LBN,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7566.9,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernardo Gavioli,BRA,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7567.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamas Farkas,SRB,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7567.1,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikita Fedotov,KAZ,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7568.6,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssef Magdy,EGY,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7585.8,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Druenne,MON,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7693.6,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniil Androssov,KAZ,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7698.3,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aly Hany Elsagheer,EGY,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7730.9,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moataz Hassan,EGY,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,7831.5,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostafa Tarek,EGY,05/08/2023,FINA World Cup,"Soma Bay, EGY",10.0,NW,Neutral,41.0,8064.6,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
