athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Kristof Rasovszky,HUN,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6437.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico Acerenza,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6440.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Klemet,GER,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6440.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcello Guidi,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6442.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Betlehem,HUN,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6443.7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Paltrinieri,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6446.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Garach Benito,ESP,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6450.2,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,GER,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6538.2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Antoine Olivier,FRA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6539.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Tepper,USA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6540.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6540.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hector Thomas Cheal Pardoe,GBR,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6542.2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas Frach,GER,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6542.3,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jules Wallart,FRA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6542.5,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Manzi,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6542.9,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linus Schwedler,GER,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6543.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6544.4,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Campos,POR,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6544.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillem Pujol,ESP,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6544.8,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6544.9,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Gravley,USA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6546.2,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Dalu,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6546.5,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6548.5,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Finco,BRA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6549.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquin Moreno,ARG,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6549.7,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6550.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Aubry,FRA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6550.6,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taishin Minamide,JPN,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6550.7,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6551.8,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giuseppe Ilario,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6552.6,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasquale Giordano,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6553.1,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Filadelli,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6553.4,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Ellis,USA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6553.5,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Farinango,ECU,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6553.9,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Puskovitch,USA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6554.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Cardoso,POR,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Neutral,86.0,6554.2,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
