athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Marc-Antoine Olivier,FRA,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,12.0,7856.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,12.0,7856.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas Frach,GER,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,12.0,7860.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Dalu,ITA,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,12.0,7867.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athanasios Kynigakis,GRE,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,12.0,7869.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Campos,POR,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,12.0,7870.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ido Gal,ISR,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,12.0,7914.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,12.0,7938.4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,12.0,7978.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martim Carvalho,POR,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,12.0,8571.3,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,12.0,8577.9,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
