athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Thomas Lurz,GER,03/18/2007,FINA World Championships,"Melbourne, AUS",5.0,NW,Neutral,39.0,3409.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenii Drattcev,RUS,03/18/2007,FINA World Championships,"Melbourne, AUS",5.0,NW,Neutral,39.0,3410.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridon Gianniotis,GRE,03/18/2007,FINA World Championships,"Melbourne, AUS",5.0,NW,Neutral,39.0,3416.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Jose Hervas Jodar,ESP,03/18/2007,FINA World Championships,"Melbourne, AUS",5.0,NW,Neutral,39.0,3420.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Schelvis,NED,03/18/2007,FINA World Championships,"Melbourne, AUS",5.0,NW,Neutral,39.0,3421.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Chervynskiy,UKR,03/18/2007,FINA World Championships,"Melbourne, AUS",5.0,NW,Neutral,39.0,3426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Browne,AUS,03/18/2007,FINA World Championships,"Melbourne, AUS",5.0,NW,Neutral,39.0,3427.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Ferretti,ITA,03/18/2007,FINA World Championships,"Melbourne, AUS",5.0,NW,Neutral,39.0,3429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ercoli,ITA,03/18/2007,FINA World Championships,"Melbourne, AUS",5.0,NW,Neutral,39.0,3430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ky Hurst,AUS,03/18/2007,FINA World Championships,"Melbourne, AUS",5.0,NW,Neutral,39.0,3431.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Hein,GER,03/18/2007,FINA World Championships,"Melbourne, AUS",5.0,NW,Neutral,39.0,3431.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
