athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Marc-Antoine Olivier,FRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,6894.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas Frach,GER,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,6896.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Abrosimov,RUS,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,6898.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,6908.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,6915.1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,6916.4,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Elias Schmidt,GER,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,6921.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,6942.9,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7005.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthieu Magne,FRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7005.8,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,BRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7026.1,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,BRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7052.2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Verplaetse,FRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7269.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polat Uzer Turnali,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7290.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7317.8,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Buraki Sik,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7713.6,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehmet Efe Yilmaz,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7716.8,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emir Batur Albayrak,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7723.8,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atakan Malgil,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7805.8,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yagiz Efe Ari,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,7868.1,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristijan Stojanovski,MKD,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,8075.8,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bora Tokcan,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,44.0,8082.7,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
