athlete_name,country,status,dob,count
Nada Osman,EGY,Active,,1
Pac Tung Nikita Lam,HKG,Active,,1
Kathriana Gustianjani,INA,Active,,1
Martina Oriozabala,ARG,Active,,1
Vicenia Navarro,VEN,Active,,1
Hannah Moore,USA,Retired,,1
Ashley Twichell,USA,Retired,,1
Erica Sullivan,USA,Active,,1
Katy Campbell,USA,Active,,1
Mariah Denigan,USA,Active,,1
Mira Szimcsak,HUN,Active,,1
Yi-Chen Wang,TPE,Active,,1
Aleyna Nur Sungur,TUR,Active,,1
Hsin-Yi Fang,TPE,Active,,1
Jordan White,AUS,Active,,1
Polly Isabella Holden,GBR,Active,,1
Madisyn Armstrong,AUS,Active,,1
Luomeng Ren,CHN,Active,,1
Aricia Peree,BRA,Active,,1
Amica De Jager,RSA,Active,,1
Sofie Frichot,SEY,Active,,1
Maria Vilas,ESP,Active,,1
Martha Aguilar Ortega,MEX,Active,,1
Martha Sandoval,MEX,Active,,1
Hitomi Okamura,JPN,Active,,1
Aide Lourdes Sandoval Ayala,MEX,Active,,1
Catia Iordan Agostinho,POR,Active,,1
Mariana Mendes,POR,Active,,1
Spela Perse,SLO,Active,,1
Miriam Frass,GER,Active,,1
Lenka Sterbova,CZE,Active,,1
Janka Juhasz,HUN,Active,,1
Adel Farkas,HUN,Active,,1
Sarah Demicoli,MLT,Active,,1
Dorka Betlehem,HUN,Active,,1
Mariia Novikova,RUS,Active,,1
Kate Farley Sanderson,CAN,Active,,1
Eva Fabian,ISR,Active,,1
Chantel Lily Jeffrey,CAN,Active,,1
Liliana Hernandez,VEN,Active,,1
Sandy Atef,EGY,Active,,1
Paola Perez,VEN,Active,,1
Robyn Kinghorn,RSA,Active,,1
Maisie Emily Macartney,GBR,Active,,1
Seonjae Ban,KOR,Active,,1
Jeongmin Lee,KOR,Active,,1
Mariya Fedotova,KAZ,Active,,1
Yanci Vanegas,GUA,Active,,1
Ana Abad,ECU,Active,,1
Camila Mercado,BOL,Active,,1
Merle Liivand,EST,Active,,1
Genesis Rojas,CRC,Active,,1
Anastasiia Krapivina,RUS,Active,,1
Dayoun Lim,KOR,Active,,1
Pimpun Choopong,THA,Active,,1
Haeun Jung,KOR,Active,,1
Fatima Flores,ESA,Active,,1
Hita Nayak,IND,Active,,1
Nikitha Setru Venugopal,IND,Active,,1
Kenna Delaney Godfrey Smallegange,CAN,Active,,1
Alexandra Bougie,CAN,Active,,1
Gabrielle Savard,CLB,Active,,1
Elise Bolger,CAN,Active,,1
Julia Nina,BRA,Active,,1
Ivana Prizmic,CRO,Active,,1
Li-Shan Chantal Liew,SGP,Active,,1
Yi Chen Hsieh,TPE,Active,,1
Rui An Kuo,TPE,Active,,1
Szu-An Chen,TPE,Active,,1
Jie Chuan Tseng,TPE,Active,,1
Ting Yu Chan,TPE,Active,,1
Hannah Hang Fung Li,HKG,Active,,1
Jiake Sun,CHN,Active,,1
Jingcen Hao,CHN,Active,,1
Nikita Lam Pac Tung,HKG,Active,,1
Mafalda Rosa,POR,Active,,1
