athlete_name,country,date,event,location,distance,current_type,temp,field_size,time,place
Vit Ingeduld,CZE,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,842.00",39
Sacha Velly,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,845.20",40
Dimitrios Markos,GRE,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,850.10",41
Jan Hercog,AUT,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,902.40",42
Lev Cherepanov,KAZ,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,926.60",43
Bogdan Petre,ROU,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,928.60",44
Naim Mokhfi,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,935.40",45
Federico Salghetti-Drioli,SUI,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,958.50",46
Mathieu Mathy Ben Rahou,MAR,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,965.70",47
Alexis Vandevelde,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,995.90",48
Hugo Saillard,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"7,012.60",49
Vincent Crooijmans,NED,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"7,036.10",50
Jean-Baptiste Clusman,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"7,068.00",51
Ous Mellouli,TUN,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"7,183.10",52
Evgenij Pop Acev,MKD,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"7,187.70",53
Sander Crooijmans,NED,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"7,259.30",54
Igor Chervynskiy,UKR,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"7,433.00",55
Galymzhan Balabek,KAZ,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"8,004.50",56
Tameea Elhamayda,QAT,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"8,488.20",57
end,,,2021_03_13_Doha_10km,,,,,,,0
Hector Thomas Cheal Pardoe,GBR,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,327.60",1
Athanasios Kynigakis,GRE,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,333.10",2
Tobias Patrick Robinson,GBR,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,333.10",3
Matan Roditi,ISR,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,335.90",4
Kai Graeme Edwards,AUS,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,337.30",5
Taishin Minamide,JPN,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,349.70",6
Tiago Campos,POR,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,352.90",7
Kirill Abrosimov,RUS,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,357.20",8
David Farinango,ECU,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,367.90",9
Ous Mellouli,TUN,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,375.60",10
Michael Mcglynn,RSA,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,376.70",11
Daniel Delgadillo,MEX,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,376.80",12
Matej Kozubek,CZE,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,376.80",13
Elliot Sodemann,SWE,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,377.10",14
Nicholas Sloman,AUS,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,383.60",15
Esteban Enderica Salgado,ECU,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,383.90",16
Diogo Cardoso,POR,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,385.10",17
Hau-Li Fan,CAN,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,385.40",18
Evgenij Pop Acev,MKD,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,386.00",19
Jan Hercog,AUT,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,386.40",20
Diogo Villarinho,BRA,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,388.60",21
Logan Vanhuys,BEL,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,389.20",22
Takeshi Toyoda,JPN,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,389.40",23
Joaquin Moreno,ARG,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,389.50",24
Phillip Seidler,NAM,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,391.20",25
William Yan Thorley,HKG,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,391.70",26
Johndry Segovia,VEN,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,397.70",27
Malek Louissi,TUN,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,443.80",28
Diego Vera,VEN,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,480.80",29
Vit Ingeduld,CZE,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,488.70",30
Tomas Peciar,SVK,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,492.20",31
Evgenii Drattcev,RUS,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,525.20",32
Krzysztof Chmielewski,POL,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,525.50",33
Mathieu Mathy Ben Rahou,MAR,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,527.20",34
Henre Louw,RSA,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,528.40",35
Federico Salghetti-Drioli,SUI,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,532.90",36
Tanakrit Kittiya,THA,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,538.90",37
Franco Ivo Cassini,ARG,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,562.00",38
Marwan Elamrawy,EGY,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,609.50",39
Christian Schreiber,SUI,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,617.70",40
Cheng-Chi Cho,TPE,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,621.30",41
Yuval Safra,ISR,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"7,637.00",42
Mattias Glenesk,SWE,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"8,008.80",43
Allan Do Carmo,BRA,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"8,069.50",44
Bogdan Petre,ROU,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"8,113.70",45
Rodrigo Caballero,BOL,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"8,140.00",46
Kai-Wen Tseng,TPE,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"8,182.30",47
Maximiliano Paccot,URU,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"8,443.00",48
Chin Ting Keith Sin,HKG,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"8,475.40",49
Felipe Lopez,URU,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"8,689.60",50
Araya Pumchitamorn,THA,06/20/2021,FINA Olympic Qualifier,"Setubal, POR",10,No Current,Cold,71,"8,735.80",51
end,,,2021_06_20_Setubal_10km,,,,,,,0
Florian Wellbrock,GER,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,513.70",1
Kristof Rasovszky,HUN,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,539.00",2
Gregorio Paltrinieri,ITA,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,541.10",3
Matan Roditi,ISR,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,564.90",4
Athanasios Kynigakis,GRE,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,569.20",5
Marc-Antoine Olivier,FRA,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,623.00",6
Ferry Weertman,NED,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,690.80",7
Michael Mcglynn,RSA,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,692.70",8
Hau-Li Fan,CAN,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,697.00",9
Jordan Wilimovsky,USA,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,700.20",10
Rob Muffels,GER,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,783.30",11
Kai Graeme Edwards,AUS,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,784.00",12
Taishin Minamide,JPN,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,787.50",13
Mario Sanzullo,ITA,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,788.60",14
David Farinango,ECU,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,789.80",15
Phillip Seidler,NAM,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,794.10",16
Daniel Delgadillo,MEX,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,794.40",17
Alberto Martinez,ESP,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,796.40",18
Kirill Abrosimov,RUS,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,869.30",19
Ous Mellouli,TUN,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"6,993.30",20
Vitaliy Khudyakov,KAZ,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"7,073.70",21
William Yan Thorley,HKG,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"7,113.40",22
Tiago Campos,POR,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"7,182.00",23
Matej Kozubek,CZE,08/04/2021,Olympic Games,"Tokyo, JPN",10,No Current,Hot,46,"7,312.10",24
end,,,2021_08_04_Tokyo_10km,,,,,,,0
Axel Reymond,FRA,08/21/2021,FINA Grand Prix,"Ohrid Lake, MKD",25,No Current,Neutral,34,"18,631.00",1
Edoardo Stochino,ITA,08/21/2021,FINA Grand Prix,"Ohrid Lake, MKD",25,No Current,Neutral,34,"18,632.00",2
Evgenij Pop Acev,MKD,08/21/2021,FINA Grand Prix,"Ohrid Lake, MKD",25,No Current,Neutral,34,"18,634.50",3
Marcel Schouten,NED,08/21/2021,FINA Grand Prix,"Ohrid Lake, MKD",25,No Current,Neutral,34,"18,642.90",4
Matias Diaz Hernandez,ARG,08/21/2021,FINA Grand Prix,"Ohrid Lake, MKD",25,No Current,Neutral,34,"18,706.20",5
Marc-Antoine Olivier,FRA,08/21/2021,FINA Grand Prix,"Ohrid Lake, MKD",25,No Current,Neutral,34,"18,830.70",6
Francesco Ghettini,ITA,08/21/2021,FINA Grand Prix,"Ohrid Lake, MKD",25,No Current,Neutral,34,"19,009.40",7
Franco Ivo Cassini,ARG,08/21/2021,FINA Grand Prix,"Ohrid Lake, MKD",25,No Current,Neutral,34,"19,066.40",8
Matthieu Magne,FRA,08/21/2021,FINA Grand Prix,"Ohrid Lake, MKD",25,No Current,Neutral,34,"19,179.90",9
Aleksandar Ilievski,MKD,08/21/2021,FINA Grand Prix,"Ohrid Lake, MKD",25,No Current,Neutral,34,"20,358.10",10
end,,,2021_08_21_OhridLake_25km,,,,,,,0
Marc-Antoine Olivier,FRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"6,894.60",1
Niklas Frach,GER,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"6,896.70",2
Kirill Abrosimov,RUS,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"6,898.00",3
Kristof Rasovszky,HUN,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"6,908.40",4
Matteo Furlan,ITA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"6,915.10",5
Axel Reymond,FRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"6,916.40",6
Aaron Elias Schmidt,GER,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"6,921.30",7
Andreas Waschburger,GER,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"6,942.90",8
Marcel Schouten,NED,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,005.60",9
Matthieu Magne,FRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,005.80",10
Allan Do Carmo,BRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,026.10",11
Diogo Villarinho,BRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,052.20",12
Alexandre Verplaetse,FRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,269.50",13
Polat Uzer Turnali,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,290.00",14
Evgenij Pop Acev,MKD,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,317.80",15
Ahmet Buraki Sik,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,713.60",16
Mehmet Efe Yilmaz,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,716.80",17
Emir Batur Albayrak,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,723.80",18
Atakan Malgil,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,805.80",19
Yagiz Efe Ari,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"7,868.10",20
Kristijan Stojanovski,MKD,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"8,075.80",21
Bora Tokcan,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,44,"8,082.70",22
end,,,2021_08_28_OhridLake_10km,,,,,,,0
Alessio Occhipinti,ITA,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"23,540.60",1
Marcel Schouten,NED,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"23,673.40",2
Simone Ruffini,ITA,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"23,684.30",3
Francesco Ghettini,ITA,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"23,684.60",4
Axel Reymond,FRA,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"23,800.40",5
Evgenij Pop Acev,MKD,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"23,833.30",6
Franco Ivo Cassini,ARG,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"24,022.50",7
Matheus Emerim Evangelista,BRA,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"24,026.00",8
Matias Diaz Hernandez,ARG,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"24,753.00",9
Edoardo Stochino,ITA,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"25,306.90",10
Matthieu Magne,FRA,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"25,508.90",11
Aleksandar Ilievski,MKD,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"25,622.90",12
Riccardo Chiarcos,ITA,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"27,896.10",13
Marco Inglima,ITA,09/05/2021,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,35,"28,780.00",14
end,,,2021_09_05_Capri-Napoli_36km,,,,,,,0
Marc-Antoine Olivier,FRA,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,553.20",1
Kristof Rasovszky,HUN,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,553.80",2
Niklas Frach,GER,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,556.70",3
Andrea Manzi,ITA,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,558.10",4
Nicholas Sloman,AUS,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,558.30",5
David Betlehem,HUN,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,561.20",6
Dario Verani,ITA,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,593.80",7
Alberto Martinez,ESP,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,595.50",8
Bailey Armstrong,AUS,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,597.30",9
Matteo Furlan,ITA,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,599.80",10
Evgenii Drattcev,RUS,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,600.10",11
Matan Roditi,ISR,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,600.60",12
Allan Do Carmo,BRA,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,600.90",13
Guillem Pujol,ESP,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,601.10",14
Marcel Schouten,NED,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,601.70",15
Lars Bottelier,NED,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,602.00",16
Jan Hercog,AUT,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,604.40",17
Vincent Crooijmans,NED,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,604.90",18
Diogo Villarinho,BRA,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,669.20",19
Ido Gal,ISR,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,672.90",20
Sander Crooijmans,NED,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,672.90",21
Jon Thomas Mckay,CAN,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,782.40",22
Ziv Cohen,ISR,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"6,905.50",23
Yoav Parvar,ISR,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"7,417.60",24
Yaron Mantin,ISR,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"7,582.50",25
Yuval Krelman,ISR,12/12/2021,FINA World Cup,"Eilat, ISR",10,No Current,Neutral,48,"7,849.70",26
end,,,2021_12_12_Eilat_10km,,,,,,,0
Florian Wellbrock,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,489.40",1
Domenico Acerenza,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,492.00",2
Kristof Rasovszky,HUN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,503.60",3
Pasquale Sanzullo,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,504.10",4
Mario Sanzullo,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,504.80",5
Sacha Velly,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,506.10",6
Andrea Manzi,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,509.60",7
Niklas Frach,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,509.90",8
Hector Thomas Cheal Pardoe,GBR,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,516.80",9
Marcello Guidi,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,517.80",10
Oliver Klemet,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,517.90",11
Tobias Patrick Robinson,GBR,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,519.40",12
Matteo Furlan,ITA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,520.90",13
Axel Reymond,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,521.70",14
Marcel Schouten,NED,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,522.50",15
Jules Wallart,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,522.70",16
Rob Muffels,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,523.70",17
Logan Fontaine,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,526.10",18
Fares Zitouni,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,528.70",19
Tiago Campos,POR,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,531.60",20
David Betlehem,HUN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,536.50",21
Bailey Armstrong,AUS,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,537.60",22
Brennan Gravley,USA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,538.10",23
Peter Galicz,HUN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,545.20",24
Alberto Martinez,ESP,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,546.80",25
Jan Hercog,AUT,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,547.30",26
Logan Vanhuys,BEL,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,557.20",27
Athanasios Kynigakis,GRE,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,575.90",28
Enzo Roldan Munoz,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,624.40",29
Matan Roditi,ISR,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,631.80",30
Kirill Abrosimov,RUS,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,663.60",31
Zalan Sarkany,HUN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,666.60",32
Allan Do Carmo,BRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,666.90",33
Linus Schwedler,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,667.00",34
Leo Ouabdesselam,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,667.20",35
Elliot Sodemann,SWE,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,668.90",36
Ido Gal,ISR,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,670.00",37
Diogo Cardoso,POR,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,670.10",38
Ben Langner,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,671.20",39
Hau-Li Fan,CAN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,679.20",40
Diogo Villarinho,BRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,682.60",41
Ziyang Zhang,CHN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,799.30",42
Aaron Elias Schmidt,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,803.30",43
Michael Brinegar,USA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,882.30",44
Alexandre Verplaetse,FRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,886.90",45
Christian Schreiber,SUI,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,888.10",46
Raben Severin Dommann,CAN,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,903.60",47
Ruwen Straub,GER,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,908.50",48
Dylan Gravley,USA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,914.80",49
Bruce Hanson Almeida,BRA,12/15/2021,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,"6,931.90",50
