athlete_name,country,date,event,location,distance,current_type,temp,field_size,time,place
Evgenij Pop Acev,MKD,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,10,"7,853.50",9
Nikola Savatinov,BUL,08/28/2019,FINA World Cup,"Ohrid Lake, MKD",10,No Current,Neutral,10,"7,936.90",10
end,,,2019_08_28_OhridLake_10km,,,,,,,0
Edoardo Stochino,ITA,08/31/2019,FINA Grand Prix,"Novi, CRO",20,No Current,Neutral,11,"15,483.00",1
Evgenij Pop Acev,MKD,08/31/2019,FINA Grand Prix,"Novi, CRO",20,No Current,Neutral,11,"15,486.00",2
Francesco Ghettini,ITA,08/31/2019,FINA Grand Prix,"Novi, CRO",20,No Current,Neutral,11,"15,489.00",3
Matias Diaz Hernandez,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20,No Current,Neutral,11,"15,528.00",4
Matheus Emerim Evangelista,BRA,08/31/2019,FINA Grand Prix,"Novi, CRO",20,No Current,Neutral,11,"15,552.00",5
Damian Blaum,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20,No Current,Neutral,11,"15,593.00",6
Aquiles Balaudo,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20,No Current,Neutral,11,"15,650.00",7
Nicola Tempesta,ITA,08/31/2019,FINA Grand Prix,"Novi, CRO",20,No Current,Neutral,11,"15,698.00",8
Martin Carrizo Yunges,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20,No Current,Neutral,11,"15,992.00",9
Aleksandar Ilievski,MKD,08/31/2019,FINA Grand Prix,"Novi, CRO",20,No Current,Neutral,11,"16,113.00",10
Andrea Crevatin,ITA,08/31/2019,FINA Grand Prix,"Novi, CRO",20,No Current,Neutral,11,"16,246.00",11
end,,,2019_08_31_Novi_20km,,,,,,,0
Nicholas Sloman,AUS,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"6,991.20",1
Hayden Paul Cotter,AUS,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"6,996.80",2
Matteo Furlan,ITA,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"6,998.40",3
Soeren Meissner,GER,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"6,999.20",4
Dario Verani,ITA,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,000.90",5
Andreas Waschburger,GER,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,001.00",6
Marcel Schouten,NED,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,001.20",7
Cheng-Chi Cho,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,002.60",8
Matej Kozubek,CZE,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,046.00",9
Allan Do Carmo,BRA,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,054.60",10
William Yan Thorley,HKG,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,123.00",11
Vitaliy Khudyakov,KAZ,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,127.30",12
Tzu-Cheng Liao,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,194.90",13
Chin Ting Keith Sin,HKG,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,441.70",14
Kai-Wen Tseng,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,581.50",15
Tien-En Yang,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,584.50",16
Ritchie Oh,SGP,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,584.80",17
Yu Sung Chen,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,588.40",18
Chia En Hsu,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,588.60",19
Luke Yu Yang Tan,SGP,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,593.30",20
Tsung Bao Lin,TPE,09/07/2019,FINA World Cup,"Nantou, TPE",10,No Current,Neutral,21,"7,606.70",21
end,,,2019_09_07_Nantou_10km,,,,,,,0
Andrea Bianchi,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,15,"24,512.11",1
Francesco Ghettini,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,15,"24,512.22",2
Evgenij Pop Acev,MKD,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,15,"24,829.00",3
Damian Blaum,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,15,"25,144.00",4
Edoardo Stochino,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,15,"25,151.00",5
Marco Magliocca,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,15,"25,787.00",6
Matheus Emerim Evangelista,BRA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,15,"26,329.00",7
Matias Diaz Hernandez,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,15,"26,500.00",8
Aleksandar Ilievski,MKD,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,15,"27,369.00",9
Aquiles Balaudo,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,15,"27,518.00",10
Stefano Parta,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36,No Current,Neutral,15,"29,183.00",11
end,,,2019_09_07_Capri-Napoli_36km,,,,,,,0
Ferry Weertman,NED,09/29/2019,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,27,"6,960.13",1
