split,distance
Split0,0
Split1,1200
Split2,2600
Split3,3700
Split4,5100
Split5,6300
Split6,7600
Split7,8800
Split8,10200
Split9,11300
Split10,12700
Split11,13900
Split12,15200
Split13,16400
Split14,17800
Split15,18900
Split16,20300
Split17,21500
Split18,22800
Split19,24000
Split20,25000
