athlete_name,country,date,event,location,distance,current_type,temp,condition,field_size,time,place
Kirill Abrosimov,RUS,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3274.3,1
Federico Vanelli,ITA,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3294.4,2
Caleb Hughes,GBR,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3306.1,3
Rob Muffels,GER,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3311.3,4
Ferry Weertman,NED,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3314.8,5
Mario Sanzullo,ITA,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3322.2,6
Daniel Szekelyi,HUN,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3346.8,7
Soeren Meissner,GER,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3352.1,8
Simone Ruffini,ITA,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3356.8,9
Marcus Herwig,GER,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3358.9,10
Aleksandr Astapov,RUS,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3385.5,11
Sergey Bolshakov,RUS,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3387.3,12
Patrik Rakos,HUN,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3388.8,13
Marcel Schouten,NED,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3407.2,14
Pepijn Smits,NED,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3421.2,15
Pol Gil,ESP,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3424.9,16
Matthias Schweinzer,AUT,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3429.7,17
Jay Lelliott,GBR,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3466.1,18
Rafael Gil,POR,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3494.4,19
Tamas Farkas,SRB,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3497.8,20
Christopher Bryan,IRL,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3499.3,21
Jakub Tobias,CZE,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3561,22
