athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Cecilia Biagioli,ARG,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57,NW,Neutral,11,"27,227.70",1
Barbara Pozzobon,ITA,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57,NW,Neutral,11,"27,758.54",2
Alice Franco,ITA,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57,NW,Neutral,11,"27,873.48",3
Daria Kulik,RUS,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57,NW,Neutral,11,"28,297.74",4
Pilar Geijo,ARG,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57,NW,Neutral,11,"28,723.55",5
Anna Mankevich,RUS,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57,NW,Neutral,11,"28,778.82",6
Romina Soledad Imwinkelried,ARG,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57,NW,Neutral,11,"28,836.31",7
Erika Yenssen,ARG,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57,NW,Neutral,11,"29,393.43",8
Rita Vanesa Garcia,ARG,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57,NW,Neutral,11,"30,917.88",9
Daira Marin,ARG,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57,NW,Neutral,11,"30,997.41",10
end,,,2018_02_04_SantaFe_57km_W,,,,,,,
Sharon Van Rouwendaal,NED,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,344.40",1
Leonie Beck,GER,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,345.20",2
Finnia Wunram,GER,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,346.70",3
Ana Marcela Cunha,BRA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,346.80",4
Martina De Memme,ITA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,346.90",5
Chelsea Gubecka,AUS,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,348.00",6
Arianna Bridi,ITA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,348.30",7
Oceane Cassignol,FRA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,350.80",8
Rachele Bruni,ITA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,351.40",9
Giulia Gabbrielleschi,ITA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,352.00",10
Samantha Arevalo,ECU,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,353.70",11
Lara Grangeon De Villele,FRA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,354.10",12
Kareena Lee,AUS,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,354.30",13
Alice Dearing,GBR,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,354.80",14
Adeline Furst,FRA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,378.70",15
Lisa Pou,FRA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,382.00",16
Anna Olasz,HUN,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,386.20",17
Esmee Vermeulen,NED,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,387.60",18
Danielle Huskisson,GBR,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,387.70",19
Viviane Jungblut,BRA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,389.30",20
Yukimi Moriyama,JPN,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,391.70",21
Angela Maurer,GER,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,393.50",22
Lea Boy,GER,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,401.80",23
Sarah Bosslet,GER,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,402.40",24
Kalliopi Araouzou,GRE,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,409.20",25
Paula Ruiz Bravo,ESP,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,423.80",26
Stephanie Horner,CAN,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,426.50",27
Mackenzie Brazier,AUS,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,428.20",28
Jeannette Spiwoks,GER,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,436.50",29
Minami Niikura,JPN,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,436.80",30
Xin Xin,CHN,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,441.50",31
Chloe Gubecka,AUS,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,447.20",32
Souad Nefissa Cherouati,ALG,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,610.70",33
Svenja Zihsler,GER,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,708.10",34
Eva Bonnet,BEL,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,806.70",35
Krystyna Panchishko,UKR,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,947.20",36
Phoebe Louise Griffiths,GBR,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"7,969.80",37
Ilona Maille,FRA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"8,047.80",38
Claire Six,FRA,03/17/2018,FINA World Cup,"Doha, QAT",10,NW,Neutral,42,"8,051.80",39
end,,,2018_03_17_Doha_10km_W,,,,,,,
Arianna Bridi,ITA,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,112.30",1
Ana Marcela Cunha,BRA,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,112.60",2
Martina De Memme,ITA,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,113.40",3
Leonie Beck,GER,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,115.50",4
Rachele Bruni,ITA,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,115.60",5
Sharon Van Rouwendaal,NED,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,116.50",6
Viviane Jungblut,BRA,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,117.00",7
Xin Xin,CHN,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,117.60",8
Giulia Gabbrielleschi,ITA,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,118.00",9
Alice Dearing,GBR,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,118.90",10
Svenja Zihsler,GER,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,119.80",11
Yumi Kida,JPN,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,122.60",12
Angela Maurer,GER,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,124.50",13
Esmee Vermeulen,NED,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,127.10",14
Finnia Wunram,GER,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,128.80",15
Anna Olasz,HUN,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,139.00",16
Yukimi Moriyama,JPN,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,144.70",17
Danielle Huskisson,GBR,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,164.70",18
Stephanie Horner,CAN,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,202.70",19
Samantha Arevalo,ECU,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,223.50",20
Lea Boy,GER,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,226.80",21
Caroline Laure Jouisse,FRA,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,244.80",22
Caiping Yang,CHN,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,342.90",23
Michelle Weber,RSA,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,350.80",24
Muran Tian,CHN,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,350.80",25
Sarah Bosslet,GER,05/20/2018,FINA World Cup,"Seychelles, SEY",10,NW,Neutral,29,"7,354.80",26
end,,,2018_05_20_Seychelles_10km_W,,,,,,,
Haley Anderson,USA,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,518.89",1
Sharon Van Rouwendaal,NED,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,520.26",2
Kareena Lee,AUS,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,522.25",3
Finnia Wunram,GER,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,527.87",4
Rachele Bruni,ITA,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,550.23",4
Leonie Beck,GER,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,550.75",6
Ana Marcela Cunha,BRA,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,555.19",7
Angela Maurer,GER,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,564.70",8
Giulia Gabbrielleschi,ITA,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,581.45",9
Chase Travis,USA,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,617.08",10
Anna Olasz,HUN,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,619.72",11
Xin Xin,CHN,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,626.57",12
Esmee Vermeulen,NED,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,628.56",13
Arianna Bridi,ITA,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,629.07",14
Svenja Zihsler,GER,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,633.50",15
Samantha Arevalo,ECU,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,745.53",16
Sarah Bosslet,GER,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,689.62",17
Lea Boy,GER,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,714.15",18
Martina Grimaldi,ITA,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,714.28",19
Viviane Jungblut,BRA,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,719.11",20
Danielle Huskisson,GBR,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,760.69",21
Chelsea Gubecka,AUS,06/09/2018,FINA World Cup,"Setubal, POR",10,NW,Neutral,37,"7,810.59",22
